colname,datatype,rectype,knrifg49,approval_status,schemaname,time_to_live,data_lineage,nullableFlag,uogrl47,write,versionno,row_count,deleted_at
created_at,FLOAT,snapshot,573596a9077622e0962fe50020d47e8222459e7e88a74f367b7eaded7ded806e,Rejected,hr.employees,190 days,raw.users -> analytics,false,false,Owner,4.4.22,25817,
email,FLOAT,upsert,ee30225341877e499186c098feb93094bc1df525b912f525ec38b73bd02f7ff3,Approved,sales.orders,257 days,raw.events -> reports,false,false,Editor,5.19.16,66965,
created_at,TEXT,upsert,74f64a836ba1fb56db4ff1c8a69b1f11c26fc76cbb8661eb8c279975dfe82e1b,In Review,public.users,151 days,curated.users -> reports,true,false,Owner,1.7.30,27041,
amount,INTEGER,insert,62032d470aa1951045f005dafeadd3ad23bf37d37d64b4b1a5c98ad23dafd0b9,Rejected,hr.employees,124 days,curated.users -> analytics,YES,false,Editor,5.3.44,27505,
created_at,JSON,insert,c07677f2b8324522ba17716cbf75670614135a12e61defb64580a412456f4637,Pending,analytics.events,262 days,curated.orders -> exports,false,false,Editor,1.7.91,49879,
status,JSON,insert,995df5c71c58125eef4930c73c6d80cc1b2da60aa61b29e7fd9704c1cbfb4354,Approved,sales.orders,226 days,staging.orders -> analytics,NO,true,Admin,2.10.52,38246,
amount,TIMESTAMP,delete,3246618a58909ba233960420c51c80adf33a47528fd9eb67d93c9cd18c5d47c4,Approved,public.users,349 days,curated.orders -> exports,NO,false,Viewer,3.19.96,67590,
status,TEXT,upsert,5890fbbee2a79ed57ac0d053ccb9863ec3808771d9efbe5af1bbc362f6ce74e7,Approved,hr.employees,241 days,staging.orders -> analytics,NO,false,Owner,1.7.75,20335,
email,INTEGER,upsert,aa5b757e81dd05da53b47b3e37e70a5b39d4348f329170381c16cc89be5445cb,Approved,analytics.events,287 days,staging.users -> analytics,YES,false,Viewer,4.16.59,854,
created_at,TEXT,insert,9c872b5959f334afb9bb3db833783a585e2ace95b1f85915762f230340c742e0,Rejected,public.users,310 days,raw.events -> reports,YES,true,Owner,1.6.81,86327,
type,FLOAT,snapshot,e8ecc1d37de99179059d718b7136d2574f0221d86ab860794b9f7c1658a4b36f,Approved,public.users,179 days,raw.events -> reports,true,false,Editor,2.15.36,74718,2021-01-22T17:04:49Z
amount,FLOAT,snapshot,ed4613adf274a5336599780b21223dbbe3c86e761c838c8054f05f852cedeaa7,In Review,public.users,159 days,staging.orders -> analytics,true,false,Owner,4.18.62,79238,
