phoneCountryCode,genid,col_261,mppzs51,index,country_pattern,d_troy,abbreviationAcronym,integer,isoLanguageCode
+61,e4095bc8-275f-44c1-8cd5-d4f7889855dd,outlook.com,1,905,+81-XX-XXXX-XXXX,0009736084,EOMYP,5914,ja
+49,05995c3e-5097-434f-acbd-fb20965d7a3e,outlook.com,1,891,+1-XXX-XXX-XXXX,0003574125,TJ,9115,pt
+91,6499fe37-f28b-4282-8c32-44299e74414b,outlook.com,0,887,+1-XXX-XXX-XXXX,0003062354,WFAX,9735,ar
+44,810ba9a1-4e15-4fd8-b295-a92ede13591d,gmail.com,1,367,+1-XXX-XXX-XXXX,0009120224,KR,6058,fr
+55,ff78b507-de1c-47a3-84b7-99b3956977d9,yahoo.com,1,557,+1-XXX-XXX-XXXX,0003818297,PC,3623,de
+44,8737268e-4440-4f7d-8e9f-6ac6175f7721,company.com,1,251,+81-XX-XXXX-XXXX,0009326385,DXLA,2743,de
+1,b7bb9606-4fd2-4c65-8cfc-fbbc65b664e9,example.com,1,130,+1-XXX-XXX-XXXX,0005865170,CQYU,4833,en
+55,4b375dab-c39f-43e9-9cb6-4e68a7c97853,yahoo.com,0,947,+1-XXX-XXX-XXXX,0000538443,CCQL,5573,ar
+1,627f763a-f1b6-4b20-bd7c-601b2f02b537,outlook.com,1,418,+81-XX-XXXX-XXXX,0003051228,NBDQ,5083,es
+91,ba67fcf0-a9d0-4065-be1e-d56c48e3c7d1,example.com,1,265,+81-XX-XXXX-XXXX,0009941748,QN,9086,es
+86,58f348fe-d6bc-4fc0-a02c-c262862275cc,example.com,0,853,+81-XX-XXXX-XXXX,0008518411,AGMYZ,9205,ko
+1,119c7979-9148-4ed6-a573-2c8d8ed7173c,example.com,0,826,+1-XXX-XXX-XXXX,0000907270,BAMC,1103,es
+81,8426c033-3eb3-410f-b4c3-eef842ba62d9,yahoo.com,0,640,+44-XXXX-XXXXXX,0002363950,ZP,2240,ko
+86,3834085c-b5ba-45b1-bbb1-f61469915ab4,gmail.com,1,606,+81-XX-XXXX-XXXX,0003217172,QRIBJ,5808,ja
+86,2f11319a-428f-4cb2-86bd-f445920884b7,yahoo.com,1,580,+81-XX-XXXX-XXXX,0005385320,DMXK,755,ar
