changelog_entry,naics_code,density,dim_657,p_276,pch60,unitOfMeasure,x_772,frequency,riskLevel,measvol
v0.2.29: Added support for caching.,695893,4.493,841093618,82799.9,2.16.23,kg,121.61,9736.23,Medium,4190.08
v2.11.27: Improved caching.,555820,3.185,570346282,89651.8,2.12.48,ft,74.38,7353.75,High,6289.38
v0.6.51: Added support for authentication.,396517,18.726,277349105,87464.9,1.9.23,lb,203.76,7116.94,Negligible,9605.15
v1.13.87: Removed caching.,410389,17.009,681459310,2103.7,1.19.93,ft,768.68,9087.95,Low,247.88
v2.3.69: Fixed bug in caching.,343218,10.361,244924424,63753.2,0.18.66,L,918.66,9260.85,Low,9076.08
v3.20.41: Removed caching.,994096,16.939,121362117,53982.5,3.9.81,ft,301.38,4691.67,Low,1511.99
v4.20.59: Improved caching.,851245,2.905,736379230,73779.4,1.14.55,gal,556.59,1259.1,High,3565.63
v2.4.25: Removed logging.,972481,5.992,011323502,96548.7,1.11.12,m,301.76,6680.96,Medium,8726.27
v4.19.93: Fixed bug in caching.,588722,16.099,367670869,93197.3,2.5.4,°C,542.9,606.16,Negligible,1409.04
v3.2.2: Improved caching.,115418,4.19,165393312,8609.0,5.18.8,ft,652.83,8396.07,Medium,1968.29
v0.16.66: Improved logging.,633601,12.409,470670500,38356.6,3.5.57,ft,497.51,6747.97,High,0.63
v5.18.6: Removed logging.,190823,4.905,679754053,8264.3,2.1.78,°C,461.99,8961.26,Negligible,8044.1
v2.18.28: Removed caching.,404350,19.785,343180213,2291.6,5.18.18,gal,430.87,9152.79,Low,7071.42
v0.15.85: Improved logging.,362118,11.161,607303163,89144.3,2.18.14,lb,894.77,6244.89,Low,867.86
v2.17.24: Added support for caching.,632664,11.822,078300665,81399.5,1.7.47,°C,662.43,1463.74,Medium,2159.09
v4.6.79: Added support for logging.,166741,18.345,111609145,91035.7,1.0.79,°C,349.9,1921.47,Low,3185.69
v5.1.43: Removed API.,511364,12.073,500073590,2501.9,2.1.99,lb,637.44,2275.56,Low,8833.16
v2.18.19: Removed logging.,973968,15.155,820636617,7655.5,3.16.73,L,383.23,1718.77,Negligible,204.97
v1.13.90: Removed caching.,169753,7.983,756987863,40121.0,0.14.19,L,117.8,6485.21,High,3011.73
v2.20.43: Added support for API.,543002,1.205,755622923,47593.1,5.5.56,°F,613.96,7595.74,Medium,5252.39
v3.0.55: Improved logging.,742621,1.553,320237558,44793.6,5.14.49,kg,113.82,4465.47,High,6268.74
v5.2.78: Added support for authentication.,706662,10.067,962165768,72146.7,4.16.71,ft,680.82,8023.01,Low,3587.32
v5.12.80: Fixed bug in authentication.,660949,3.525,105978153,82641.9,5.5.47,gal,224.77,2566.65,Low,7828.26
