district_borough,latitude,csmm16,fips,loctxt,iso_country_code,elevation_altitude,jio76,address_line,airport,port_harbor,regionStateProvince,continent,p_coo,landmark_poi,longitude
Midtown,9.304243,78746,31949,"Seattle, Israel",IN,878,6631.6,369 Oak Ave,LAX,Busan,MA,Europe,"-20.887461, 98.975844",Eiffel Tower,78.837843
Midtown,-84.104763,PQ2 4DJ,24982,"Atlanta, France",JP,3621,605.7,991 Oak Ave,NRT,Port of LA,FL,North America,"-87.262555, -139.276339",Central Park,-78.591142
West End,59.91085,46961,16477,"London, Switzerland",US,5983,3358.2,2263 Elm St,ORD,Singapore,MA,North America,"79.636761, -134.321075",Central Park,86.575952
North Shore,-6.051704,UP9 8WF,23413,"Tokyo, South Korea",FR,1175,636.5,5697 Main St,SIN,Busan,CO,Antarctica,"-37.807752, 44.122927",Big Ben,-119.55866
East Side,37.17843,84021,27519,"New York, Canada",BR,1754,9107.4,4632 Cedar Ln,SFO,Port of LA,OH,Antarctica,"-25.88746, -113.754919",Central Park,-145.745876
Midtown,69.184659,PZ1 5EE,45379,"Tokyo, Brazil",DE,2165,2102.4,9043 Main St,NRT,Rotterdam,FL,North America,"-16.869304, 171.684878",Central Park,-24.702944
East Side,42.956714,VP5 5NS,32041,"London, Germany",CA,8535,8070.9,9504 Maple Dr,LAX,Port of LA,TX,Asia,"-1.064172, 144.942263",Eiffel Tower,-93.644402
Downtown,74.430777,52200,42378,"Paris, Netherlands",US,2878,4023.5,2134 Oak Ave,CDG,Rotterdam,NC,Antarctica,"-35.579267, 106.916804",Statue of Liberty,79.672189
West End,38.026946,GO2 5OU,36509,"Dallas, United States",IN,277,3569.8,7529 Elm St,LAX,Port of LA,MA,South America,"-43.529534, -69.548791",Central Park,-158.239157
South Bay,-2.277459,76710,39262,"Seattle, India",FR,3685,4415.7,3357 Cedar Ln,CDG,Singapore,CA,Asia,"-34.279505, 92.081838",Big Ben,-137.978013
North Shore,4.324591,78954,11758,"London, Sweden",DE,4747,8236.3,7597 Maple Dr,CDG,Singapore,GA,Oceania,"-37.496847, 72.094045",Big Ben,142.552187
South Bay,87.781024,UD9 9DK,27508,"Miami, Mexico",CA,3399,7911.4,4544 Elm St,SFO,Shanghai,OH,Africa,"17.49102, 49.238684",Central Park,80.596989
North Shore,51.063421,67929,42057,"Portland, Spain",JP,3348,268.1,323 Main St,SIN,Rotterdam,TX,Antarctica,"77.059125, -142.441295",Big Ben,-118.048163
West End,15.795111,34043,37642,"Berlin, Spain",AU,7236,6906.6,4233 Main St,SFO,Shanghai,IL,Antarctica,"26.232412, 45.532317",Golden Gate Bridge,126.456713
Downtown,-0.347848,79702,23442,"Miami, France",AU,4946,9125.4,4419 Oak Ave,SIN,Shanghai,NY,South America,"43.993949, 101.558916",Central Park,-113.458879
Downtown,-40.463851,48347,37416,"Los Angeles, Sweden",GB,6060,3404.6,1011 Park Blvd,LAX,Busan,WA,South America,"-6.9609, -163.044296",Big Ben,-17.490256
Midtown,-10.958206,17201,37245,"Seattle, Germany",MX,5511,3897.3,3197 Park Blvd,ORD,Port of LA,IL,Oceania,"-89.807438, 82.183811",Central Park,-37.094034
North Shore,-20.111803,VX6 9QI,18686,"Dallas, France",DE,6403,2500.5,4332 Main St,LAX,Busan,CA,Antarctica,"-84.015576, 139.919862",Eiffel Tower,-168.052554
North Shore,-22.446476,14468,20060,"San Francisco, France",DE,2955,966.0,5941 Main St,SIN,Shanghai,TX,South America,"-22.264606, 32.486644",Eiffel Tower,140.606604
East Side,-85.056722,LH2 5VZ,14277,"Seattle, Japan",US,8014,8268.1,4699 Oak Ave,LAX,Busan,CA,Africa,"-7.66565, -120.25101",Statue of Liberty,-11.958237
North Shore,77.611709,KQ4 7PJ,11554,"Atlanta, Canada",CA,7865,7737.6,7720 Elm St,SIN,Rotterdam,GA,Antarctica,"67.55385, -159.352634",Central Park,-157.053603
Midtown,-84.044523,86091,10968,"Denver, Switzerland",DE,5865,9238.3,2694 Oak Ave,LHR,Singapore,MA,Asia,"-82.037528, -76.851533",Statue of Liberty,108.679832
East Side,27.537509,II9 7RI,27036,"Austin, Germany",GB,6750,1048.4,6004 Maple Dr,NRT,Rotterdam,MA,South America,"-45.426287, 57.127961",Statue of Liberty,-11.221697
Midtown,-68.261951,VM2 7TX,49036,"Portland, Norway",AU,1093,504.7,7001 Elm St,SFO,Shanghai,WA,North America,"15.660129, -163.980411",Golden Gate Bridge,-108.572748
East Side,66.037094,96538,27470,"Los Angeles, Italy",US,3268,3213.9,2759 Oak Ave,SIN,Rotterdam,WA,Africa,"30.158654, 97.78379",Big Ben,-176.540607
North Shore,46.805678,CC1 7KY,26750,"Boston, Japan",GB,6523,4852.2,1168 Park Blvd,LAX,Port of LA,MA,South America,"-29.37865, -115.305957",Statue of Liberty,76.112464
South Bay,-8.261067,SC7 5EY,10134,"Sydney, France",JP,3942,5462.9,1159 Pine Rd,SIN,Shanghai,MA,Africa,"-74.405017, -34.122813",Big Ben,-121.753272
South Bay,-43.496324,LQ9 4NN,01512,"Tokyo, Singapore",DE,3748,9970.8,4631 Main St,LHR,Busan,FL,Africa,"2.024037, -38.748482",Central Park,-53.39421
South Bay,13.734544,NQ7 7UQ,02556,"New York, Norway",MX,5949,4170.9,3909 Main St,JFK,Port of LA,NY,Antarctica,"-64.238337, 179.556581",Central Park,41.728701
South Bay,-16.350203,IP1 3RB,16917,"Boston, Sweden",CA,4239,1420.2,1827 Oak Ave,SIN,Shanghai,MA,Antarctica,"-58.221996, 118.019942",Eiffel Tower,28.362395
South Bay,-64.10151,75968,40286,"Tokyo, Italy",FR,2485,4987.5,6826 Elm St,ORD,Hamburg,FL,Oceania,"41.20279, -91.242866",Big Ben,83.146523
North Shore,-51.432085,AV8 3ZQ,06801,"Sydney, Spain",MX,8130,1048.3,6824 Main St,JFK,Hamburg,GA,Antarctica,"45.209084, 35.927601",Statue of Liberty,80.579157
West End,-86.505663,61647,47182,"Toronto, France",FR,4850,3293.2,2082 Oak Ave,SIN,Shanghai,PA,Asia,"-65.504569, -4.130655",Eiffel Tower,68.221755
South Bay,37.091019,29359,07820,"Miami, Spain",DE,2292,3200.9,1579 Cedar Ln,LHR,Rotterdam,PA,Africa,"-44.351569, -145.223046",Big Ben,-58.229425
South Bay,87.963997,NA9 7FY,19854,"Tokyo, Italy",CA,3582,1993.0,6968 Cedar Ln,JFK,Busan,IL,Antarctica,"-6.427931, 123.780272",Statue of Liberty,-33.802463
South Bay,-35.131347,CV2 9CG,09675,"New York, Sweden",GB,3067,7368.2,1945 Pine Rd,LAX,Hamburg,WA,Africa,"-30.669074, -48.619609",Central Park,99.10068
Midtown,-12.126406,QK2 7OX,56431,"Dallas, Spain",MX,1132,9415.5,9781 Cedar Ln,CDG,Hamburg,MA,Africa,"-78.940429, -113.837773",Eiffel Tower,-43.834046
