median,probval,confidenceInterval,f_256,percentile,numeric_range,var_vc,cas_registry_number,trend_growth_rate,word_embedding,image_embedding,f_138,var_qul,gloss,col_mean,genus,attr_718
-67.5454,0.4962,"[36.1, 82.45]",0.5983,65.7,18-63,14.9052,20082-28-8,41.91%,"[1.7643, 0.0797, -0.4817, 0.8522, 1.3577, -0.5693, 0.1479, 0.594]","[-0.456, -0.2362, 0.299, 0.2333, -0.0411, -0.8953, 0.3851, 0.4824]",6288.9547,94.41,A formal definition of risk.,56.4383,E. coli,"[0.3366, 0.3909, 0.9456, 0.9393, 0.7995, 0.0516, 0.5358, 0.3919]"
65.6456,0.3499,"[33.55, 79.18]",-0.7157,57.93,40-89,27.4708,5727-54-4,-40.65%,"[-1.9403, 0.3972, 1.8007, -2.6304, 0.1971, 0.4051, -0.9355, 0.3805]","[-0.0508, 0.2367, -0.3687, 0.2597, 0.222, -0.5902, 0.8161, 0.3152]",4746.584,7.45,A operational definition of compliance.,60.9846,H2O,"[0.0342, 0.1646, 0.0542, 0.8568, 0.918, 0.1688, 0.8691, 0.7562]"
-28.9511,0.9826,"[31.33, 91.45]",-0.0178,15.28,33-80,40.6067,67546-46-8,7.09%,"[-0.2446, -0.6752, -0.7866, -1.0349, -1.5567, -0.0585, 1.3841, 2.4068]","[-0.3229, -0.1339, -0.4318, -0.6882, -0.1742, -0.6184, 0.473, 0.306]",1940.4151,80.71,A systematic definition of risk.,57.519,NaCl,"[0.7503, 0.0227, 0.6045, 0.1324, 0.1225, 0.7563, 0.4035, 0.0048]"
24.2334,0.5933,"[6.56, 64.78]",-0.9512,29.82,18-97,46.0219,97563-95-6,16.9%,"[0.1804, -0.4456, 0.5045, -1.2017, -0.0821, 0.8322, -0.233, 0.3325]","[0.3404, -0.7881, -0.5076, 0.2989, 0.2089, -0.3727, -0.4936, -1.0086]",3078.7141,80.38,A formal definition of data quality.,39.0991,E. coli,"[0.2201, 0.3702, 0.5126, 0.467, 0.5826, 0.3158, 0.0031, 0.8196]"
97.4733,0.2803,"[3.97, 80.78]",0.2853,8.74,19-51,39.3746,80245-82-2,-32.74%,"[1.3602, -0.6178, -0.247, 0.9777, -0.484, -0.3368, -0.1588, -0.8202]","[0.0656, 0.3952, -0.4688, 0.4944, -0.131, 0.2938, 0.1613, 0.5833]",3120.9745,90.48,A formal definition of data quality.,-98.4154,E. coli,"[0.2496, 0.7855, 0.6087, 0.6519, 0.9416, 0.5951, 0.3786, 0.457]"
7.7219,0.1579,"[15.86, 63.17]",0.0143,88.0,20-90,1.2384,5478-63-2,-44.68%,"[-2.1548, -2.5648, 0.1578, 0.7994, 0.5721, 0.0379, 0.2389, 2.3154]","[0.226, -0.07, -0.0841, -0.1382, 0.1459, 0.121, 0.7813, 0.9287]",1717.7725,53.84,A formal definition of data quality.,-40.2962,H2O,"[0.4261, 0.5306, 0.4826, 0.9664, 0.2758, 0.5121, 0.8693, 0.6847]"
80.4624,0.9961,"[32.49, 67.31]",0.7911,8.19,0-67,9.631,86250-61-0,41.1%,"[-0.2949, 0.1633, 0.0575, -1.0306, 0.6646, -0.5297, -0.0814, -0.767]","[0.0061, -0.7364, -0.5069, 0.4715, -0.2341, 0.6839, -0.018, -0.082]",3873.2518,61.54,A operational definition of compliance.,90.2582,E. coli,"[0.6332, 0.0375, 0.1711, 0.7744, 0.7901, 0.0896, 0.3385, 0.6323]"
11.0799,0.1026,"[10.29, 87.06]",-0.3889,92.99,16-99,37.9324,52572-39-8,7.69%,"[-0.4838, -0.2638, -1.221, 3.1618, 1.5352, -0.4981, -0.1039, -1.3799]","[0.6493, -0.0456, -0.3669, -1.0484, -0.3083, 0.4952, -0.2787, -0.3459]",-319.3555,94.95,A formal definition of compliance.,-13.7601,Homo sapiens,"[0.5113, 0.716, 0.9056, 0.4435, 0.3572, 0.764, 0.4134, 0.6744]"
68.1203,0.9581,"[6.35, 73.39]",0.2209,2.48,0-71,45.9675,92757-63-7,21.31%,"[1.707, -0.059, 1.2566, -0.629, 0.1486, -1.7194, 0.5362, -1.2714]","[0.0227, -0.7855, 0.7068, 0.2546, 0.0127, 0.1282, 0.039, 0.6687]",4308.8495,77.77,A operational definition of data quality.,2.1887,E. coli,"[0.7027, 0.6902, 0.8397, 0.0897, 0.023, 0.5856, 0.2845, 0.5887]"
75.4502,0.07,"[2.62, 70.19]",-0.8775,85.99,1-78,5.8605,50949-82-1,32.86%,"[-2.1773, -0.6088, 0.6622, -0.2002, 0.3427, -0.0073, -1.1246, 0.0046]","[-0.5296, 0.4048, -0.0561, 0.0067, -0.2761, 0.5478, 0.1885, 0.1835]",7867.0296,47.02,A systematic definition of compliance.,-20.4223,Fe2O3,"[0.3271, 0.9522, 0.6434, 0.5344, 0.8673, 0.0604, 0.3444, 0.1287]"
18.6634,0.0627,"[32.58, 87.6]",0.6044,79.77,4-83,48.0446,46648-57-2,16.25%,"[-0.8403, 0.4962, -1.0694, 0.1039, -0.0393, -0.0621, 0.685, -0.4963]","[0.8371, -0.711, -0.7369, 0.3848, -0.7789, 0.7252, 0.4029, 0.2431]",2174.0447,96.32,A formal definition of compliance.,53.4764,E. coli,"[0.4245, 0.8431, 0.6017, 0.6221, 0.6617, 0.5859, 0.431, 0.9458]"
-10.7891,0.5163,"[24.62, 82.82]",-0.9797,98.64,35-62,25.1596,15665-61-0,-23.85%,"[0.0989, -1.1666, 0.9516, -1.0733, -0.0381, 0.2891, 2.2114, -1.3323]","[0.0637, -0.1332, -0.4043, -0.1359, 0.1908, 0.0034, 0.3871, 0.2844]",4331.728,63.77,A formal definition of compliance.,-86.087,E. coli,"[0.0123, 0.6873, 0.4723, 0.3057, 0.9183, 0.504, 0.7502, 0.9922]"
-24.5964,0.6839,"[28.22, 71.59]",-0.5379,15.21,7-63,49.0003,19848-26-3,7.01%,"[-0.9301, -1.1099, -0.1005, 0.7458, -0.6942, 0.221, 0.4086, 1.2146]","[0.3716, -0.0839, 0.2995, 0.4741, 0.7988, 0.3973, -0.9043, -0.6213]",6828.6148,31.34,A operational definition of data quality.,-3.9457,NaCl,"[0.9141, 0.3221, 0.9393, 0.9815, 0.3801, 0.6722, 0.4334, 0.4477]"
98.2678,0.4101,"[19.4, 65.88]",-0.5814,73.09,25-92,40.9534,73713-38-4,2.69%,"[-0.3147, 1.0572, 0.6976, 0.5568, -1.2146, 0.0818, 0.8383, 0.2238]","[-0.2825, -0.0168, -0.3562, -0.4379, 0.0122, 0.1641, 0.3493, -0.0993]",7152.3213,5.89,A formal definition of data quality.,3.9577,E. coli,"[0.819, 0.0905, 0.0409, 0.3366, 0.1775, 0.554, 0.2435, 0.7165]"
84.0005,0.1797,"[13.29, 88.89]",-0.2493,56.08,16-71,5.8111,55987-99-1,19.63%,"[0.9779, -0.1115, 1.2225, 0.7928, 0.1183, 0.5575, 0.0561, -0.5976]","[0.4885, 0.7057, -0.3298, 0.3138, -0.8794, -0.2735, -0.1313, -0.6785]",5764.4906,84.61,A formal definition of compliance.,96.5919,Fe2O3,"[0.9134, 0.5468, 0.1416, 0.3168, 0.3801, 0.6778, 0.6815, 0.0763]"
-61.4473,0.5057,"[14.97, 74.18]",-0.1976,28.5,2-90,14.9305,67506-69-1,2.86%,"[0.415, -1.2793, 0.9801, 0.5452, 1.7062, 0.0637, 0.8027, -0.6654]","[0.3434, -0.1694, -0.2348, -0.783, 1.2203, -0.1142, -1.0052, 0.4939]",3852.1524,2.73,A systematic definition of compliance.,-17.3287,Homo sapiens,"[0.1473, 0.0084, 0.4212, 0.361, 0.3939, 0.1051, 0.4049, 0.6456]"
-63.5116,0.6842,"[13.28, 81.91]",-0.2878,54.37,11-57,35.9294,17072-75-9,2.96%,"[0.2294, 0.85, -0.004, 0.464, 0.0145, 0.4458, 1.142, -0.6419]","[0.4495, 0.9349, -0.353, 0.0878, 0.0998, 0.2658, 0.7228, -0.5369]",2897.755,9.11,A operational definition of risk.,29.4077,Homo sapiens,"[0.5422, 0.2911, 0.2216, 0.0335, 0.0366, 0.3241, 0.0452, 0.4487]"
