electricCurrent,schedulePlan,measlum,pressure,fhlx65,measph,col_cron,flow_rate,voltage,partkey,temperature,threshold_limit,var_dec
49.97,Every 15 minutes,22338.6,494.6,73.9,0.78,"3 15 * * 0,6",943.11,229.4,tenant=2024-01,-6.9,warn=5486,4.8
32.82,Daily at 2am,42820.4,1479.1,66.3,5.08,"19 19 * * 0,6",886.52,301.3,tenant=2024-01,16.5,crit=1788,66.5
31.17,Weekly on Monday,55422.4,1706.2,37.6,13.52,42 11 * * 1-5,901.68,146.8,dt=2024-01,36.7,min=2769,114.6
13.03,Monthly on 1st,40474.0,287.3,9.8,8.7,40 4 * * *,456.78,196.8,tenant=us-east,48.2,crit=7489,30.1
60.74,Monthly on 1st,91293.4,1552.1,4.4,6.84,"10 15 * * 0,6",494.82,78.3,tenant=2024-01,-2.8,crit=6753,9.8
25.88,Monthly on 1st,41124.2,1385.8,74.3,13.4,40 3 * * 1-5,255.15,431.0,dt=us-east,-30.1,min=3208,33.2
91.5,Weekly on Monday,81446.7,678.7,44.9,3.73,16 19 * * *,455.4,130.0,tenant=2024-01,-2.0,warn=8607,82.7
2.58,Weekly on Monday,91829.1,956.6,80.7,13.49,"15 6 * * 0,6",637.81,8.1,dt=2024-01,16.9,max=5747,51.2
41.77,Monthly on 1st,946.1,386.5,24.8,13.74,"42 1 * * 0,6",781.08,41.6,tenant=2024-01,8.9,crit=943,51.7
40.26,Every 15 minutes,30758.6,1235.7,95.0,5.1,47 18 * * *,63.52,404.4,dt=acme,34.8,crit=5874,68.6
21.29,Daily at 2am,93323.6,110.0,29.7,3.75,59 12 * * *,396.01,305.2,tenant=2024-01,-21.9,max=6511,26.1
28.41,Weekly on Monday,19382.0,1871.2,8.8,11.33,50 0 * * 1-5,785.07,377.5,tenant=acme,42.6,warn=7840,116.3
99.55,Monthly on 1st,36021.8,1416.8,25.3,10.09,3 5 * * 1-5,763.19,117.0,region=2024-01,34.4,min=7512,73.9
22.99,Weekly on Monday,75633.9,1657.4,68.6,4.71,"58 17 * * 0,6",878.82,296.5,region=acme,-0.6,min=1019,125.0
59.14,Weekly on Monday,13222.9,149.9,27.7,4.94,"43 14 * * 0,6",517.61,398.4,region=acme,17.6,crit=3741,56.5
4.7,Daily at 2am,13827.4,1833.2,41.1,11.63,39 18 * * 1-5,228.58,42.8,region=2024-01,-22.3,min=9174,108.5
39.6,Every 15 minutes,39447.1,1528.2,33.3,0.56,46 20 * * *,793.33,158.0,dt=acme,-18.2,min=1958,129.4
42.84,Every 15 minutes,20115.9,643.5,18.4,11.94,16 6 * * *,369.64,214.5,dt=2024-01,40.1,warn=7986,40.3
12.88,Daily at 2am,21920.2,1069.6,0.3,7.06,33 19 * * 1-5,766.52,378.2,tenant=acme,0.4,min=4134,48.1
30.97,Weekly on Monday,88071.7,466.5,11.9,11.8,"30 12 * * 0,6",584.55,26.7,dt=2024-01,28.9,crit=667,71.4
43.62,Weekly on Monday,26388.8,1288.7,32.3,11.32,49 7 * * 1-5,363.97,314.5,region=2024-01,-3.4,max=5943,114.2
64.31,Monthly on 1st,20668.7,778.6,40.8,13.41,"1 22 * * 0,6",78.74,116.4,dt=2024-01,-33.7,min=353,29.6
39.91,Every 15 minutes,42727.4,566.3,22.9,13.79,34 2 * * 1-5,594.65,20.3,region=2024-01,-21.3,warn=2097,5.7
14.58,Weekly on Monday,73037.8,1491.7,27.5,4.09,35 10 * * *,628.48,316.4,tenant=acme,10.2,min=9581,20.8
81.33,Weekly on Monday,78966.9,1266.3,49.6,4.85,28 7 * * *,972.78,356.8,region=us-east,-5.9,crit=7021,121.2
39.92,Every 15 minutes,61574.2,108.9,2.6,6.84,30 0 * * *,900.61,459.5,region=us-east,36.2,warn=3805,66.0
34.17,Every 15 minutes,37201.7,901.9,28.2,12.6,48 10 * * 1-5,253.72,267.8,region=acme,6.1,crit=4162,22.4
4.7,Weekly on Monday,23340.6,1087.9,34.8,3.94,"50 14 * * 0,6",648.64,126.7,tenant=acme,6.0,max=1966,67.7
83.0,Daily at 2am,91033.6,57.3,71.5,5.15,"45 7 * * 0,6",229.34,337.5,tenant=acme,38.4,crit=7397,99.1
95.5,Daily at 2am,95686.8,1723.5,70.4,2.54,"2 18 * * 0,6",239.67,470.6,region=us-east,26.3,warn=3229,88.6
21.62,Daily at 2am,91494.0,734.3,93.0,5.75,"16 14 * * 0,6",79.54,479.2,region=us-east,5.3,warn=7276,84.8
80.34,Daily at 2am,34471.4,1370.4,70.3,3.51,"50 4 * * 0,6",171.52,247.0,region=acme,-30.3,max=9150,58.3
32.64,Every 15 minutes,9671.5,1013.4,20.2,10.85,"2 11 * * 0,6",888.82,186.6,tenant=us-east,32.7,warn=6225,8.5
93.34,Daily at 2am,38417.2,1466.4,6.3,1.45,"31 17 * * 0,6",452.57,149.9,tenant=acme,-29.3,warn=6573,53.5
87.97,Monthly on 1st,90435.3,1687.8,42.3,13.05,2 5 * * 1-5,907.43,352.5,tenant=us-east,8.9,crit=5522,110.2
33.52,Monthly on 1st,41908.6,920.5,21.3,11.74,1 7 * * *,865.4,53.4,tenant=acme,-25.0,warn=9204,55.8
35.79,Weekly on Monday,48249.3,1155.9,50.7,12.42,"57 8 * * 0,6",710.49,261.5,region=2024-01,13.8,crit=8401,26.4
15.87,Monthly on 1st,94171.5,1579.2,91.8,11.65,37 20 * * *,511.05,439.6,region=2024-01,-37.5,crit=185,126.7
19.73,Daily at 2am,27643.4,1416.2,24.5,12.94,50 5 * * *,272.66,335.4,region=us-east,46.4,max=1682,55.4
