cusipNumber,budget_allocation,yyw8,c_kwc,ticker,iso_currency_code,cryptocurrency_address,legalEntityIdentifier,quarter,x_976,market_value,etl_batch_id
6M3SGUR4P,"$4,710,120",96.8006,446,FNGT,USD,0x148cfc53deb863a9115b0d8f9149eb74c699f69c,5X3X10Y14DSF2UWUFUK1,Q3 2024,INV-748841,"$850,824,093",batch-20200307-23
6D43I21PU,"$460,465",61.469,323,MKDT,USD,0xa238f395aeae8a80d4056afe960cc6c82a1895ae,HU3D3513LM7E41OFV14J,Q1 2026,INV-130884,"$894,022,237",batch-20191104-62
1AYSV6O9E,"$3,248,963",75.8329,376,RV,AUD,0xdd0f60a1a1b062a39762b3407742b726da9581db,3779U7C1A7YJ8HQDE7M7,Q2 2022,INV-520806,"$116,830,003",batch-20230329-70
7QH96YCFN,"$1,837,023",112.6755,543,ZIMO,AUD,0x637e849b290d40d6407ad68eeb78e1daee9d138f,GT0R0VIP35T54GYLBI18,Q1 2023,INV-923769,"$754,746,496",batch-20240807-70
ZPY9QZO7I,"$3,399,096",77.9825,450,JA,INR,0x2a235a16d5c87149b8c2f29fcf88a398cdf2edcf,YI4PZZJ8XKV4VTCDMWS8,Q1 2025,INV-786642,"$474,055,613",batch-20190111-46
7ITQRT8G7,"$3,792,704",41.5976,379,BQZM,INR,0x78d967dd283f0a5862a3040e5f69a90148c554e6,VHM3KWWETUJO55H877MF,Q1 2025,INV-813586,"$983,644,427",batch-20210904-24
TM9R6MGUO,"$4,942,932",33.637,527,NUJ,JPY,0xdf1b50a8ff8057ad33a1a89e17708b940d345755,D0N53R4SIP4B8J4ZXD82,Q1 2026,INV-471048,"$190,501,000",batch-20230214-50
W8EVRC0ER,"$2,280,034",54.4675,540,NWJE,GBP,0xe8ec6fd96c84d2b8fe4ab65dcd484911bf0e0024,XV5CIX39ELLHLRSWP0YK,Q3 2026,INV-645059,"$563,591,001",batch-20241201-50
NWZF8Y7P6,"$3,700,911",108.0444,599,KTDV,GBP,0xe4f13dbc12d29eaa90be8673858c6ba22574f842,FUBFD340NXIDB5Z8XGQH,Q4 2026,INV-852032,"$782,109,883",batch-20200608-73
X887LGUUW,"$3,456,605",132.293,403,LIWB,CAD,0x3832ab39e38467abe3c4f944cc9b27dd722103e7,SRER6LUU6IF31D2O25TG,Q1 2022,INV-897962,"$595,178,474",batch-20230626-78
3YQS5PYYZ,"$3,123,180",100.2685,665,GN,USD,0xcecd00f3619c575dfd9e1ca2efba134d80de9f1a,RVEOW0EF578O1FE1YEND,Q2 2020,INV-226832,"$663,144,120",batch-20260203-05
Q0X717HW0,"$311,571",44.395,497,JFA,GBP,0x7ecc1c414caa250af242d9b5fbd1bac3a92b701f,EJPMLNL7HA752A97PNFI,Q4 2022,INV-163238,"$178,718,927",batch-20240919-80
CZ8P5AIEK,"$898,913",51.6874,567,VR,USD,0x3b4319e67ea5e417af562371d4618cc800ec816c,DFSTS3YQFBZ9ZQHBQIQI,Q1 2020,INV-952489,"$934,501,458",batch-20210324-47
88RHOEHAP,"$2,928,066",79.9879,840,JLLG,USD,0x385fcc92cfede625132d00461fa011777e0b43c8,3UZZZULYZLGJVBVXVR62,Q4 2025,INV-334546,"$695,913,602",batch-20180924-26
QPEOV0D68,"$1,246,203",32.8344,593,MO,JPY,0x3252bfa99ef70be26fa078d82102a0ca1eefc3ac,UV52QFE980TW87S34876,Q3 2024,INV-244955,"$172,667,836",batch-20260702-16
Q5MS7UPSP,"$97,754",81.0954,363,GB,CNY,0x5ad23946cae87d42a887c9fe7a4931e19167837a,3TI0M2Q22YOKBVPX4NTZ,Q4 2020,INV-378548,"$486,569,216",batch-20230927-40
FPFMNF7UI,"$3,412,067",41.645,428,NO,JPY,0x46b306f62f8910d11f1ef3afa2d36376023e586c,Z6M81RJWPX5ZJ2O4Q067,Q1 2026,INV-640842,"$136,226,068",batch-20251107-34
VUTBT6AO3,"$1,221,208",14.9863,381,HNZ,JPY,0xd9eaf898c3f697e64e1545a19ba0a75b6b511a0d,T13HLOZESJNCRBVXKETU,Q2 2020,INV-407565,"$988,488,416",batch-20220322-49
YJ65WPOLP,"$1,358,522",2.6461,618,LJT,AUD,0x807fcf38963c4662ac541a95e0e6d122c7f7a425,CACK9D643J2X9A6TDV9R,Q4 2024,INV-234062,"$210,428,639",batch-20181121-23
U5M767JEZ,"$2,208,229",127.9849,735,DC,GBP,0x083c73596c08fa548418c8e5cf0a645a523e1f2b,Q1W09YW3DP11IKX0RB5T,Q4 2025,INV-277960,"$880,190,070",batch-20181026-61
MAT2C283J,"$1,631,425",5.4634,535,SND,BRL,0xe5340eba11d78816f44a5408deb797c1aaeb5a18,8SJTNWU9S151VL9RZ4D4,Q2 2022,INV-495147,"$249,799,944",batch-20180530-12
59T8ZGEHU,"$1,900,047",89.0627,466,GOCZ,INR,0x76df9f8809e21d03e0b661e8aa8c760145c4e38e,XXDSBRP14XHL5V32BH1A,Q4 2021,INV-103678,"$397,447,055",batch-20210216-43
8VPCAYP9Y,"$3,541,678",40.6665,375,XK,AUD,0x411df34c819e9c780cc684289929c8888a18aac1,B2PN4U6AVE7E51M4WU3G,Q1 2022,INV-182480,"$594,197,076",batch-20180124-98
76NFCQML8,"$3,864,546",73.2554,597,CTMK,GBP,0xc1ad8499f622f597cee4b42d547d5c2d2d5db0b1,O76O8QHE4QGFULZ2ADS8,Q2 2021,INV-822308,"$281,224,470",batch-20260116-58
IEPO772NR,"$495,235",118.052,360,DJ,USD,0x9de1d121eb3dc09301650f4bf18c854c29799d62,J81O082SFR23C60CJBMU,Q4 2021,INV-817857,"$196,783,608",batch-20181009-60
6H52MJ13M,"$1,270,900",63.3912,361,WZL,CHF,0x793b448342c6fef4e850deb6751f29b00ee50a40,9DI89QSNVYF2ZQOYGWOW,Q2 2022,INV-957287,"$987,853,487",batch-20210102-90
7Y96YG626,"$2,998,622",130.8525,360,EK,USD,0x113b2efaa4a904f7cbd78eb9503c106f9fc0b905,75PSZ1CTW689MW68M1IN,Q3 2021,INV-147924,"$388,092,299",batch-20220508-10
BOR7AAU76,"$4,593,746",9.2891,696,LGUX,CNY,0x8b2e33d4bfd067cd502507f5264749aa9c33510c,UX64BIW8UOJA5ENP2WA6,Q3 2023,INV-450311,"$809,955,907",batch-20240423-72
2TLUGG01L,"$3,316,524",7.4407,546,RWU,GBP,0x7524feb2e1cd3c03b2a9a1e8197051116858be97,9GYNSZ117R1Z4C9VF6RG,Q3 2022,INV-426098,"$930,210,222",batch-20180807-85
DSG1FBTWT,"$1,918,958",20.7229,459,GH,CNY,0xfabedb1ff9bbabb2af4b2d275eb153ec86e660f0,ZV7PQOVVI1YX9DY39CK5,Q1 2026,INV-266850,"$625,061,011",batch-20260527-68
