iata_code,material_name,attr_987,power,platenum,measspd,azimuth,vehicle_identification_number,flightNumber
DCF,Titanium,14269.1,19806.7,RAJ-1182,260.7,101.46,SDHJOJCQ77SXGV81X,NZ7778
NNQ,Steel,89285.2,3390.5,EKQ-6786,26.5,316.01,B3G1KAGAHPMR42UMH,ZW8389
AYO,Steel,7414.6,49577.7,UVI-5827,148.6,257.58,41EGJY0GD2UKQOGUF,WS4967
TYZ,Titanium,68549.5,5785.5,WVY-6957,187.3,126.6,BJI4XVKCI5XWWB95W,YB4105
GYF,Steel,77723.4,38977.2,AVF-4447,296.5,187.48,Y4YSLCJNIO8ZICTBU,NA7913
GEC,Polyethylene,96771.0,31267.7,DQB-9020,207.5,99.96,4OQ5Q0LN2R0NZSPA2,MS9481
BSC,Glass,19003.6,39541.5,NOR-8549,279.7,208.27,4DWC9BL4OVD38R3YH,ND9863
GCR,Glass,37389.8,6439.1,RTV-1944,189.6,10.56,0LAEDZ03YPOE6517J,FR4379
BPV,Titanium,50610.3,45481.6,VQF-7220,47.4,6.54,I4MWRU4NLGV1OF6BC,QD6622
AYL,Aluminum,27621.2,49376.4,IBK-3233,253.7,233.49,CQR5UWKYK2C6ES3UG,LX9539
FTZ,Titanium,44983.9,2809.4,RJZ-1634,9.3,59.36,0U16RIV8MNJRCVYRR,PX9148
TDP,Aluminum,4426.3,42377.6,ISG-5660,147.6,168.38,D41PH3KKZWDT9UK3J,ZT7370
GBI,Polyethylene,45800.0,2832.3,KDL-2288,181.4,269.57,WANBB9QS66SZSP271,FD8406
MRQ,Polyethylene,67660.8,34258.3,ZDY-6539,290.8,201.07,TM4GVVSDZAH2244JC,HU6178
BFN,Polyethylene,75452.4,8919.2,PPR-2882,12.2,166.87,JW3E1AUO350TT58VD,DN5008
ZCG,Glass,29633.9,1614.1,UCV-5644,8.7,246.93,97HM84B5QLHW50QCP,NN3362
BLK,Titanium,5333.1,33649.3,TDS-8861,203.4,133.44,QNXWPF3YZVU1LQWUY,XB3779
IAF,Titanium,39342.1,1688.2,VWI-4417,166.6,355.57,Y1C9S3WR17IQ77IC7,DA4840
YVP,Carbon Fiber,66250.2,12471.8,CAM-1368,251.4,28.0,HKEAMEQG36X2Q2P4L,SU6441
CEM,Carbon Fiber,56130.1,39956.4,RHH-3504,42.8,330.86,A2LN7XHGUODI02FTX,YV5302
UEZ,Polyethylene,94562.7,46965.0,UBN-7420,208.8,74.36,4822SWTBMDQ449GDP,KH1911
QQY,Glass,54855.5,2933.0,UNB-2249,241.5,153.84,5W50CFDET5L21IQL5,HO3823
TKX,Steel,70280.7,8346.8,ZOF-8653,211.9,202.31,DQJ3D2LQUN5CJ2MTU,KC4985
VSM,Glass,41251.4,35026.8,VSH-5352,59.9,4.72,CI167DV41XQLJZGL1,PD5273
JJJ,Aluminum,28033.5,4959.0,NQC-6004,3.1,299.45,UG7YKOVFZKIJNVLGH,NJ5601
RBG,Steel,60874.3,32595.0,YPJ-8487,232.6,315.55,TNUESWJPBW9HKAFI7,YC3311
BCB,Aluminum,38895.1,12097.2,PON-7684,127.8,191.01,R8JS5Y693G6CAG6XO,XK1005
GGU,Glass,30312.6,36658.3,GTR-7238,225.9,93.72,ECCOAVBMWBG12DMWT,CG5106
HLT,Titanium,22885.2,28845.3,PDI-2075,285.0,262.13,0W9UZ6MRXLC88DISZ,XL5952
AAR,Polyethylene,84060.1,47903.4,EIP-1406,204.8,5.34,LAOZZ917W113W1ZBY,GA4044
WGJ,Glass,66532.1,36746.5,CFA-2636,251.9,32.29,AVKV5CCJC4AENDZ15,IK1356
BMM,Titanium,87145.3,18881.5,ZES-3013,254.2,170.94,DR8FTL8XT5CMEVC3Y,UU1306
ZYJ,Aluminum,66252.3,20755.5,JML-1044,96.4,266.74,7ECX9VD6HAW6FKP4V,QR9698
UOX,Titanium,51631.2,30771.4,OAZ-3862,151.0,333.92,O9J1R5XJB683BTKAC,CJ8041
TWB,Polyethylene,22234.0,46546.7,RNP-1330,151.2,270.09,9NYZKIFEHB22EUXXJ,GL3918
WTG,Carbon Fiber,48623.6,31323.2,ODC-7389,273.0,256.21,LX2R36L79NYPQ9ORF,FT6733
QVF,Polyethylene,32698.0,29639.6,IRV-9574,250.9,8.95,4IPVWOP786C4VW3DB,IE9175
ZXT,Aluminum,17967.4,16617.5,SJO-5288,95.5,27.2,4CC3MLDS7GOWH1SIJ,WY6433
VIZ,Glass,91336.5,27341.5,DIJ-8647,204.5,27.47,GSNMOKBKS65T2VCQA,TX6970
CJJ,Polyethylene,73723.1,49257.4,YLX-8227,15.8,353.7,9OCGCHQVILQ43V3NJ,VS2227
NYN,Aluminum,76603.7,40800.5,VGA-5103,53.6,318.16,QIGF62MD7JITKHBBL,BL4913
SMP,Titanium,10912.1,10994.4,OBY-5583,293.5,296.95,ZRSRDQVVR2D3ZTHIH,LI7479
UBJ,Aluminum,70649.7,227.5,XXX-8268,186.1,35.75,R8ADGBM04YQXJTVIZ,CO9471
LGH,Carbon Fiber,13830.6,16205.3,KGT-7329,7.2,122.96,LHEVBTMAUMYRL1PIX,EP2990
WEA,Aluminum,50901.1,15990.9,EDI-5353,155.7,95.6,9UDJJP19B4GM0WVGG,CG2762
VCQ,Steel,51000.8,43300.0,YYT-3616,199.2,79.92,5BJTM9QGB79XM98LN,QZ3981
TLB,Titanium,99149.5,39569.9,MSW-8941,218.5,226.87,809IKAX11M5YDEA2S,WZ3683
KNE,Steel,45854.3,2409.8,DXY-6787,196.8,348.5,X2NQJU6IKKGEFG337,AR3541
EUH,Polyethylene,28855.9,32123.2,AJH-5494,118.0,334.82,3R024SRRJIJQYJ72J,GV6383
XDO,Aluminum,33647.6,18378.8,PUH-3666,224.1,345.9,MNNTP5W7YU887A2Y3,CK3700
IPC,Polyethylene,21298.8,5404.3,EWT-5531,250.7,315.44,YU4OZY8OOGBPF2L9I,BK2406
LFS,Carbon Fiber,82468.2,40265.6,TIQ-2224,230.5,104.01,KPYULPBQ3JKLQJEXG,EP1201
TTR,Polyethylene,59760.6,46890.1,NBS-6760,1.6,323.71,SEV4PVENK1BKS978B,RW2641
JMN,Aluminum,25496.0,778.9,UUG-3151,233.2,179.92,6QSQGSCMLGWWIRVL6,YR2322
AFC,Steel,28845.6,41625.3,WTM-8859,207.3,65.9,USOSN3MOBA82QV6QZ,TZ9421
RCN,Glass,94490.6,33221.0,QBH-5117,124.1,128.86,G7ZT9MBTHP3E36JEA,TH2076
CST,Polyethylene,28157.1,19261.4,TGS-7736,167.9,297.68,LNPC7K2I00J90NZDB,VZ2216
AWA,Steel,11329.3,5134.6,BCY-9354,282.9,182.15,OBVOEFBGYEWSMORSZ,MD6272
YDO,Titanium,58053.4,44425.1,YGE-2797,159.9,248.89,HAEBYJUMMJ50HY971,SN3573
HIJ,Carbon Fiber,56419.3,22130.4,RXQ-7332,209.8,240.19,UCO10OXOOWGPY0SE8,NQ7630
JSD,Carbon Fiber,51966.0,15146.4,VCL-3985,280.9,153.4,M2KSKGBMJE9HH5GY1,MR8580
AEL,Carbon Fiber,33208.0,13934.4,EYX-2530,271.7,275.21,JFA3LVFZR4XXN3YD0,JM3273
HXJ,Polyethylene,32537.8,47794.7,PIN-4401,208.9,34.36,FD0GRVSNUOWCD75TA,EC996
IOZ,Polyethylene,2126.2,12298.2,JUD-9182,200.0,7.79,0KG71BQ6JDQYMAEBT,IF7147
RWH,Polyethylene,63492.1,41476.2,CJE-5462,294.8,32.43,XE41FJ9VICM3G94EV,JP5822
QXX,Glass,7540.5,46501.0,OYO-6604,148.2,84.93,EZGI6JXZQU8BJZY8K,RP9204
LTS,Titanium,48020.4,28281.8,AIE-4589,283.1,171.42,AEQRG7W0YYU6RF2SF,KA3451
CEF,Carbon Fiber,51311.0,37359.7,FKI-7160,147.1,197.98,HFHLACMMF62547MZX,CA1628
OZB,Titanium,96314.0,28348.4,UEY-1812,219.9,208.47,USASUB7HTWD0H6IAO,EM9329
YWZ,Titanium,58174.7,88.8,DSB-8704,181.1,250.07,42PNAUBHUIU30Y7CJ,KA9522
