data_rate,sciname,booleanFlag,probability_confidence,decimal_float_field,status_code_data,var_162,integer,percentile,stock_rsu_grant_22,probabilityConfidence,memory_usage_data,raw_binary_value,decimal_float,attr_619,median_val,investment_account,power_6,var_fxiq,cin90,customer_histogram_bin,decimalFloat,c_234,histogram_bin_14,encoding_14,length,imageEmbedding,median,standardDeviation,m_f,STANDARD_DEVIATION,meta_inte,median_2,IMAGE_EMBEDDING,arithmetic_mean,CORRELATION,user_billing_account,p_177,VERSION_NUMBER,stddev,STOCK_TICKER,x_co,col_um,titlePrefix,integer_30,cache_duration,fact_latitude,tenant_identifier_raw,clock_time,billing_acct,PROBABILITY_CONFIDENCE,featureVector,percentile_2,histogram_bin_raw,col_378,binary_value_field,channel,type,histogram_bin,schedule_plan_6,DECIMAL_FLOAT,species,user_iata_code,CITATION,p_wor,word_embedding_val,raw_scientific_name,BONUS_VARIABLE_PAY,schema,mlg61,probval,imgemb,trend_growth_rate,word_embedding,dialing_code,zskgui18,numeric_range,v_107,integer_field,p_ord,confidence,raw_mean_average,genericIdentifier,jomn72,integer_2,dim_cron_specification,SIZE_DIMENSION_CATEGORY,customer_probability_confidence,batch_id
5583,Fe2O3,0,0.7777,6678.8682,pending,-11.15%,68,44.29,963 shares @ $389.44,0.3976,72.0,0,4672.4536,"[-0.0303, -0.1203, -0.0998, 0.0639, 0.6296, 0.2569, 0.7869, -0.0639]",-90.9822,INV-731146,922.2,0,"[0.1356, 0.2359, 0.7155, 0.8497, 0.8552, 0.7992, 0.7997, 0.5109]",47.86,1420.9203,08/26,62.98,UTF-16,728.61,"[-0.0019, -0.9386, -0.0357, -0.6491, -0.5879, 0.3464, -0.0815, 0.4949]",-25.6061,15.3034,Male,30.4106,6134,75.8485,"[-0.3143, 0.8342, -0.4995, 0.2432, 0.3503, 0.0047, 0.6394, 0.2578]",30.0483,-0.1048,BILL-439202,25-55,5.1.85,8.1338,PP,"[0.73, 87.48]",GPL-3.0,Mr.,5220,355 days,-72.205156,tenant-002,09:44:03,BILL-360777,0.4599,"[0.6818, 0.9724, 0.8096, 0.091, 0.2637, 0.9236, 0.4329, 0.4166]",95.39,81.52,0.3114,1,In-Store,Enterprise,39.78,Daily at 2am,1014.7777,Fe2O3,HYB,Rodriguez et al. (2024),"[-2.0725, -0.404, 1.1949, -1.0561, 0.3225, -0.6239, 0.7639, 0.3223]","[-0.0741, 0.6864, 0.1454, 0.5371, 1.7458, -0.5254, -0.0231, -1.0317]",Homo sapiens,"$22,089",POSIX,71.93,0.9762,"[-0.0537, -0.3284, 0.3113, 0.5941, 0.19, 0.3094, -0.2538, 0.6647]",-37.16%,"[0.6767, -0.699, 0.492, -0.3627, -0.4766, 0.5337, -0.7425, 0.403]",+33,2.2,41-77,C6H12O6,3953,908,0.9847,75.9243,7aa836b6-68a6-4314-8d9a-7366e80fa7dc,3330.149,9892,"11 2 * * 0,6",S,0.2252,batch-20230311-14
7687,NaCl,0,0.5097,7575.933,active,7.97%,9595,19.58,169 shares @ $275.71,0.765,10.9,0,3791.3655,"[-0.5172, -0.076, 0.1474, 0.1811, 0.5185, -0.3215, -0.1053, 0.0768]",16.9729,INV-685892,11725.2,0,"[0.3504, 0.1923, 0.3811, 0.0936, 0.1371, 0.3454, 0.3559, 0.5268]",66.25,9169.8273,06/28,3.67,ISO-8859-1,48.71,"[0.0798, 0.0739, -0.0712, -0.0134, 0.0756, -0.1411, -0.1583, 0.4608]",35.834,28.9394,Male,5.5872,5407,-85.3841,"[-0.313, 0.354, -0.751, -0.1636, -0.0314, 0.5284, -0.1031, 1.0262]",-68.2197,-0.8562,BILL-376586,8-62,5.11.8,30.4622,QGSW,"[1.85, 64.08]",MIT,Dr.,3978,11 days,-84.106516,tenant-032,07:06:01,BILL-993487,0.3775,"[0.1173, 0.1701, 0.2291, 0.4338, 0.337, 0.5185, 0.3061, 0.8714]",29.82,82.75,-0.7338,1,Mobile,Trial,30.63,Every 15 minutes,9108.0653,Homo sapiens,OWQ,Jones et al. (2007),"[-1.7377, -0.5863, 0.5823, 0.0994, -0.5867, -1.641, -0.982, 0.2928]","[0.8663, 0.2739, 0.6091, 0.6598, 0.2004, 0.058, 0.584, -0.656]",H2O,"$9,879",ISO 8601,32.96,0.1724,"[-0.3222, -0.2315, 0.4285, 0.7037, -0.2779, 0.7642, 0.5928, -0.3428]",36.66%,"[-0.8626, 0.3278, 0.3592, -0.4217, -0.9179, -0.8629, -0.2676, 0.9614]",+1,-17.5,42-73,H2O,1835,650,0.9938,80.2047,01c6bb68-5d8a-4b74-829d-3605e7a99d8e,5666.1354,7956,"19 21 * * 0,6",S,0.7665,batch-20241206-30
578,E. coli,true,0.5744,3281.2518,pending,-2.33%,9740,90.46,167 shares @ $365.1,0.9255,31.6,0,7473.3759,"[0.2028, 1.055, 0.8298, -0.1334, 0.2575, 0.179, 0.3424, -0.7129]",40.1809,INV-631567,34930.8,1,"[0.0586, 0.1489, 0.4093, 0.4316, 0.283, 0.5106, 0.3298, 0.3047]",14.3,7563.9189,07/25,19.55,Latin-1,727.74,"[0.1175, -0.0673, 0.5782, -1.4892, -0.1538, 0.217, 0.6784, -0.9806]",98.9288,39.9012,Female,15.8774,4534,75.6489,"[0.0726, 0.3332, -0.4571, -0.569, 0.0049, -0.4603, -0.0564, -0.6528]",-67.6727,0.3849,BILL-845409,45-84,1.5.5,31.6939,QJI,"[39.79, 90.99]",BSD-3-Clause,Mr.,9304,41 days,49.91437,tenant-049,08:40:06,BILL-202105,0.0266,"[0.2187, 0.586, 0.0931, 0.697, 0.8287, 0.7175, 0.0151, 0.4872]",48.53,80.08,-0.0977,1,Phone,Standard,48.81,Every 15 minutes,7574.4163,Homo sapiens,LEN,Anderson et al. (2025),"[1.8416, 0.4782, -0.9778, -0.3003, -1.0573, -0.2952, -0.2602, -0.8987]","[-0.2277, 1.2014, -1.1673, -0.0323, -1.4103, 0.4562, 0.8011, 0.5628]",C6H12O6,"$16,115",W3C Date,10.42,0.2295,"[0.0169, 0.0819, -1.0595, 0.6079, 0.1246, -0.1739, -0.1518, 0.619]",-5.66%,"[0.3304, -0.2884, -0.0578, -0.0474, 0.5161, 0.8343, -1.4639, -1.7181]",+91,28.6,4-85,NaCl,2378,872,0.6782,-10.7506,900d78de-7619-4735-8f48-2e7868a185e3,1683.1473,360,"4 15 * * 0,6",XS,0.3389,batch-20220625-69
7310,Homo sapiens,true,0.7314,7549.214,rejected,13.08%,7537,17.94,1883 shares @ $406.83,0.6148,47.6,1,8416.0424,"[0.0071, -0.2729, 0.0631, -0.2718, 0.3519, -0.1422, -0.6191, -0.127]",-41.9138,INV-855047,934.5,1,"[0.1145, 0.99, 0.2309, 0.6405, 0.6283, 0.2045, 0.6779, 0.0182]",18.74,4834.2936,12/29,96.14,Latin-1,113.81,"[-0.7035, 0.2191, -0.5268, -0.9721, -0.072, 0.4265, -0.2928, -0.1837]",-45.2627,1.4044,Unisex,28.7654,534,-32.0215,"[-0.8794, -0.543, 0.3857, -0.6507, 0.1369, -0.0393, -0.833, 0.3188]",-29.0184,-0.7501,BILL-157285,10-67,4.20.35,10.8123,NJ,"[15.37, 74.84]",MIT,Dr.,8309,148 days,-45.772294,tenant-038,09:00:35,BILL-591068,0.9154,"[0.5847, 0.0087, 0.8255, 0.6509, 0.3343, 0.0062, 0.9094, 0.8441]",90.39,34.07,-0.8559,0,Social Media,Enterprise,24.79,Weekly on Monday,-769.4571,Homo sapiens,CBG,Smith et al. (2007),"[-1.0806, -0.5279, -1.388, 0.0778, 0.8, 1.3069, -0.6005, 0.0917]","[-0.6808, 1.4389, 0.3347, 0.4764, 0.5195, -0.386, -1.2423, 0.6876]",NaCl,"$8,648",RFC 3339,49.65,0.2185,"[-0.195, -0.3051, -0.3704, 0.0674, -0.2647, -0.3998, -0.5977, -0.5754]",-13.04%,"[-0.6351, 1.0807, 0.5191, -0.3318, 0.1156, -0.4394, -0.49, 0.5769]",+44,38.8,8-61,C6H12O6,179,760,0.616,99.294,3657dc83-f141-43b3-9dd1-cc11c490b7df,-920.0167,9759,18 4 * * *,S,0.1383,batch-20211011-08
8141,Homo sapiens,false,0.3717,3689.6545,failed,22.56%,7102,81.26,3900 shares @ $390.72,0.2283,84.2,1,5788.9761,"[0.0236, -0.8393, -0.5711, 0.6613, -0.2262, 0.4485, 0.1999, 0.0532]",28.1196,INV-711416,48036.2,0,"[0.7208, 0.3867, 0.0519, 0.6116, 0.5002, 0.8551, 0.1377, 0.1372]",84.59,6913.8927,01/28,37.22,ISO-8859-1,402.18,"[0.2743, 0.193, -0.6049, -0.5779, -0.2169, 0.6447, -0.1522, 0.3309]",-29.2211,47.9454,Female,9.9755,4564,34.138,"[0.069, 0.5273, 0.3756, -1.2664, -0.3356, -0.4029, -0.4097, 0.6576]",-36.3122,0.8409,BILL-114150,39-97,4.8.3,46.3453,LQ,"[2.25, 65.09]",MIT,Rev.,2100,255 days,-64.388639,tenant-021,23:19:20,BILL-871806,0.5921,"[0.0271, 0.14, 0.9232, 0.6638, 0.584, 0.8278, 0.8574, 0.5851]",74.11,21.03,-0.331,1,Social Media,Standard,91.72,Daily at 2am,8719.2347,E. coli,SBR,Walker et al. (2000),"[0.2416, 1.0063, -1.0007, 0.9668, 0.2999, 1.5752, 0.1028, 1.4441]","[-0.6068, -0.0626, -1.0148, 0.0151, 0.3992, -0.1595, -0.2303, 0.5514]",C6H12O6,"$46,808",ISO 8601,94.51,0.6066,"[0.3901, -0.0096, 0.3132, -0.293, 0.9095, 0.5103, -0.6061, 0.0431]",-28.24%,"[1.0152, -0.6248, -0.3297, -0.1385, -0.6253, -0.5262, -1.0845, 0.5352]",+33,40.9,18-55,Homo sapiens,7873,371,0.6468,-97.7764,768e40ae-121f-4cac-9037-b2ee7faebb13,136.8786,1526,"32 0 * * 0,6",M,0.3631,batch-20210717-82
1856,E. coli,no,0.3077,4681.5553,rejected,-43.86%,1484,38.39,4008 shares @ $182.18,0.1447,39.1,0,6198.0808,"[-0.3286, -0.3974, -0.3249, 0.448, -0.0227, -1.1872, 0.1803, -0.3148]",-62.3547,INV-484182,11672.1,0,"[0.1061, 0.9043, 0.899, 0.7346, 0.2896, 0.0522, 0.4748, 0.9877]",63.39,1917.8281,06/26,84.96,ISO-8859-1,650.77,"[-0.0707, 0.1727, -0.2608, 0.3545, -0.2331, -0.4899, -0.4211, 0.4267]",89.9158,16.3243,Female,45.0005,5304,-71.8817,"[-0.2535, 0.7206, -0.1651, -0.5275, 0.1548, 0.3477, -0.6968, -0.0159]",12.2553,-0.379,BILL-649851,41-92,0.1.93,15.7262,JYF,"[36.82, 72.68]",MIT,Mr.,2948,356 days,12.461466,tenant-001,20:22:50,BILL-508964,0.8988,"[0.1272, 0.2491, 0.7182, 0.1434, 0.5262, 0.9688, 0.4624, 0.9921]",72.34,21.73,0.7941,1,Social Media,Enterprise,91.19,Daily at 2am,4279.9612,NaCl,BQU,Clark et al. (2007),"[0.1474, -2.2781, -0.9002, 0.8512, -0.1083, 0.9131, -0.3019, -0.6744]","[0.0984, -0.3241, -1.944, -0.8486, -0.4216, -2.3642, 0.3736, -0.9165]",H2O,"$41,155",RFC 3339,36.19,0.0682,"[-0.2901, -0.1737, -0.6076, -0.1412, -0.4368, 0.569, 0.0192, 0.0849]",18.83%,"[-0.5551, -0.2563, -1.6909, -1.0985, 1.3302, 2.0498, 0.8775, -0.5565]",+61,17.9,45-56,C6H12O6,8776,274,0.7354,-97.1559,b4e6eaf6-780e-45c3-a527-642c300a3392,3436.4213,3890,13 19 * * *,M,0.8479,batch-20220303-76
539,NaCl,yes,0.5707,6297.9222,failed,-6.08%,2789,76.05,526 shares @ $377.04,0.3906,61.2,0,5039.736,"[0.3685, -0.2333, 0.4502, -0.2926, 0.0994, -0.4801, -0.8924, 0.4347]",98.4793,INV-894518,22240.5,1,"[0.7986, 0.7704, 0.9526, 0.5167, 0.2148, 0.8127, 0.3552, 0.1072]",64.11,4574.1552,11/24,26.09,UTF-16,657.9,"[0.5348, -0.0125, 0.2382, 0.1759, 0.0006, -0.4771, -1.1525, 0.0806]",26.468,44.8541,Male,20.6245,7819,37.5396,"[-0.0896, -0.5019, 0.1177, 0.0011, -0.1391, 0.6077, -0.212, -0.7802]",83.3479,0.1147,BILL-261266,48-56,1.8.92,31.5277,HS,"[10.26, 63.08]",Apache-2.0,Prof.,9649,322 days,-36.645464,tenant-046,02:47:02,BILL-569294,0.5258,"[0.3439, 0.2488, 0.6283, 0.1614, 0.3897, 0.544, 0.6079, 0.9996]",53.91,2.96,0.725,0,Social Media,Free,78.76,Every 15 minutes,8691.101,NaCl,MZH,Davis et al. (2007),"[-1.2169, -0.505, -1.5244, 0.0678, 0.3577, 0.0751, -0.754, 1.0676]","[-0.1652, -1.0303, -0.3928, -0.3298, 1.6623, 0.0957, -0.2742, 0.9045]",C6H12O6,"$1,421",POSIX,36.15,0.3316,"[0.0605, 0.312, 0.4727, 0.0052, 0.2723, -0.6919, -0.4726, 0.1197]",-44.12%,"[-0.1092, -0.2016, -0.7639, 1.1077, -0.4766, 0.5303, -0.4067, 0.7263]",+86,-21.6,35-87,C6H12O6,1147,630,0.4135,-59.5662,e199902c-36a5-484b-86ab-1738dd4955b3,9889.6122,7674,"38 10 * * 0,6",S,0.6972,batch-20241111-69
6292,NaCl,yes,0.7696,3912.0106,failed,-41.67%,1693,35.31,2889 shares @ $291.99,0.8951,11.5,1,3338.1888,"[-0.1191, 0.0804, -0.191, -0.3086, 0.1094, 1.21, -0.6592, 0.0767]",-23.239,INV-503183,19780.9,0,"[0.1292, 0.6508, 0.3489, 0.1902, 0.9878, 0.1041, 0.4023, 0.4681]",62.48,5123.6287,06/30,57.96,UTF-16,693.1,"[0.1539, 0.5031, 0.1871, 0.6096, 0.4281, -0.0968, 0.2065, 0.1043]",15.2446,23.9859,Male,42.3312,9325,68.5095,"[0.2432, 0.3301, 0.0193, 0.1903, -0.0107, -0.4309, 0.2844, -0.6553]",-84.817,-0.7294,BILL-153568,18-74,4.20.15,10.7427,QR,"[20.83, 99.67]",CC BY 4.0,Hon.,6860,18 days,68.120273,tenant-030,14:51:25,BILL-351615,0.1721,"[0.7088, 0.4718, 0.3425, 0.9814, 0.156, 0.0117, 0.8302, 0.7986]",59.89,14.0,0.5375,1,In-Store,Free,56.95,Daily at 2am,2594.2941,E. coli,IEL,Young et al. (2007),"[0.1249, 0.0034, -1.4119, 0.342, 2.0666, 1.868, -0.5292, -0.3692]","[-1.1388, 0.6361, 1.0617, -1.7745, 1.5495, -1.3227, -0.6837, 0.7791]",NaCl,"$6,729",RFC 3339,41.95,0.4746,"[0.2005, -0.6925, 0.6356, -0.3614, -0.2178, 0.1747, -0.3298, -0.1976]",7.09%,"[0.5981, 2.2407, -1.177, -0.2268, -1.4156, -1.3203, -0.3999, -1.1161]",+55,40.6,15-85,NaCl,6915,702,0.2681,-27.0122,5b0b836b-052f-4baf-a2c6-cad61f6a8189,6643.9152,9032,"0 10 * * 0,6",M,0.4928,batch-20250823-20
851,H2O,false,0.1016,1557.6955,inactive,-0.54%,2256,42.73,3268 shares @ $262.33,0.7311,73.3,1,57.187,"[0.5851, 0.2926, 0.1199, 0.4604, 0.0586, -0.574, -0.2807, -0.2887]",32.0312,INV-307996,37325.6,1,"[0.1045, 0.8301, 0.5261, 0.4516, 0.8344, 0.4937, 0.3224, 0.2959]",21.3,5859.778,12/26,21.99,ASCII,991.36,"[-0.1626, -0.0146, 0.2483, 0.6946, 0.1451, 0.2001, -0.3384, -0.1166]",-80.8216,22.3716,Male,9.1309,1459,-63.7663,"[-0.3383, 0.0074, 0.131, -0.4191, -0.6444, 0.6465, -0.3327, 0.4265]",23.0145,-0.6276,BILL-628845,1-65,5.5.51,10.2424,EY,"[19.42, 73.7]",CC BY 4.0,Mr.,8191,305 days,-79.983933,tenant-043,04:44:56,BILL-993116,0.1306,"[0.7589, 0.404, 0.341, 0.7312, 0.2157, 0.544, 0.6811, 0.475]",24.54,73.25,-0.0963,1,Phone,Free,22.02,Daily at 2am,-79.5178,Homo sapiens,EGM,Anderson et al. (2019),"[0.6648, -0.0095, 1.3532, -0.2454, 0.337, 0.4209, -0.0759, 1.0106]","[1.7635, 2.3784, 0.0543, -0.7387, -0.5378, 0.6388, 0.004, 2.9374]",C6H12O6,"$16,922",IEEE 754,10.84,0.666,"[0.2272, -0.6378, -1.2199, 1.056, -0.0273, -0.6065, 0.1838, -0.2427]",9.47%,"[-0.4101, 0.1522, -0.8469, -1.1098, 0.08, -1.5168, 0.3423, 0.4599]",+49,-29.8,3-92,C6H12O6,8951,45,0.3922,-18.8709,74df2882-3fdc-4e7e-ac7c-de882069854a,1971.6565,1783,0 16 * * *,XS,0.1808,batch-20201031-45
7222,C6H12O6,false,0.8704,3956.8858,active,6.93%,5023,71.92,1014 shares @ $286.52,0.7109,9.5,1,8846.7962,"[0.4182, -0.1123, 0.4229, -0.8841, 0.2272, -0.137, -0.5654, 0.6971]",-27.5569,INV-340526,25283.8,1,"[0.3335, 0.7052, 0.8784, 0.4194, 0.4883, 0.3446, 0.9332, 0.3321]",71.78,617.304,01/28,59.43,ASCII,197.5,"[-0.5115, -0.1462, -0.003, -0.661, 0.1417, 0.2743, -0.2782, -0.3305]",43.3554,6.556,Unisex,35.7647,5215,9.8613,"[0.4109, -0.7734, 0.0224, 0.6531, 0.3422, 0.1295, -1.0693, 0.0068]",-15.9232,0.7119,BILL-861802,12-94,1.7.33,20.0995,BFTS,"[1.68, 73.62]",CC BY 4.0,Rev.,9325,238 days,-39.948421,tenant-029,09:00:37,BILL-196657,0.058,"[0.5577, 0.6553, 0.0821, 0.4277, 0.3392, 0.834, 0.7653, 0.4329]",4.24,0.06,0.2237,0,Social Media,Basic,4.15,Daily at 2am,7955.9606,Fe2O3,JWM,Taylor et al. (2013),"[-0.249, -0.0745, -1.6583, 1.9976, 0.8848, -0.57, -0.0061, -0.6146]","[-1.4711, 0.2102, -1.5543, 0.2135, 1.779, 0.6658, -1.6069, 2.1599]",C6H12O6,"$49,685",RFC 3339,90.3,0.0282,"[0.3388, 0.8048, 0.529, 0.3067, 0.5309, -0.0153, -0.4577, -0.2395]",5.13%,"[-2.27, 1.9102, 0.3178, -0.9784, 1.074, 0.9987, 0.1769, 0.1898]",+55,-12.1,4-75,H2O,8453,878,0.1972,-45.0647,2b358384-c564-4b85-a150-882e34547206,5489.285,8245,20 10 * * *,XXL,0.4197,batch-20180701-23
