weqmx1,employee_id_14,v_binar,integer,marital_status,deletedat,c_rrp,p_stmm,ci,CORRELATION,meta_forma,currency_name,INTEGER,numeric_range_raw,rbhac26,user_median,numeric_range,v_pu,median_22,corr,user_cas_registry_number,dim_brow,features,citation_val,deleted_at,intval,retentionPolicy,numericRange,jqtxw10,standard_deviation,v_dec,c_std_d,STANDARD_DEVIATION,DECIMAL_FLOAT,data_lineage_data,gtin,wordEmbedding,internal_communication_data,field_4,src_payment_method,WORD_EMBEDDING,cron_schedule_30,f_433,col_997,c_proto,apiKeyToken,src_schema_table_name,wordemb,image_embedding,attr_mgp,relative_humidity,meta_hist,col_561,col_corre,col_122,mean,histogram_bin_field,var_sj,TREND_GROWTH_RATE,trend,check,int,ENERGY,raw_feature_vector,histogram_bin,epyjvh96,scientificName,var_129,severity_level_6,tstamp,v_sci,percentile_val,dim_correlation,mean_2,correlation_30,phoneFormatPattern,meta_mari,float,raw_file_path,HISTOGRAM_BIN,f_xv,d_url_,mom,caption,stddev,sciname
5498.8055,EMP27976,1,7485,Single,,Salad,30-75,"[7.46, 60.77]",0.9007,RFC 3339,Japanese Yen,3047,17-86,UTF-16,-53.9463,35-54,-20.3778,9.1178,0.2392,38104-39-6,Safari,"[0.9688, 0.0118, 0.1296, 0.3877, 0.5779, 0.5394, 0.009, 0.552]",Harris et al. (2015),2026-06-05T01:10:57Z,3676,7 days,6-85,_ga=0377949032.7150530,9.492,2953.8247,48.5182,16.5694,8691.7838,staging.events -> exports,3172381380568,"[0.8569, 0.0325, -1.5332, -0.3114, -0.2227, -0.4175, -0.0782, 2.5869]",[INTERNAL] Q3 strategy review pending board approval,230.1,PayPal,"[-1.5678, 0.7815, 0.4731, 0.7744, -1.5809, 1.0854, 0.0991, -1.3148]",10 3 * * 1-5,-37.8423,539,FTP,sk_FlviigwsVPkzctv4NJbYieVXV7tGRj18,sales.orders,"[-0.8064, 0.9394, -1.0036, -1.898, 0.7295, 0.5274, -0.8735, -0.8085]","[-0.213, 0.1918, 1.0013, -0.5819, -0.3025, 0.1159, 0.5259, -0.4489]",false,83.1,87.14,Johnson et al. (2019),0.7034,286,26.1972,3.41,L,38.31%,40.36%,amount <= 10000,9306,75958.9,"[0.0261, 0.3809, 0.2863, 0.446, 0.037, 0.4677, 0.088, 0.943]",48.85,3742.5147,C6H12O6,40.57,Medium,2020-02-08T11:57:53Z,NaCl,15.46,0.773,-50.9805,-0.0034,+81-XX-XXXX-XXXX,Single,6737.4142,/var/logs/batch_427.xml,86.76,IMP4CMX0K6PXQ6O3Y,https://example.com/users/7b9375dd/profile,-25.06%,Figure 9: Timeline,22.599,H2O
9301.1982,EMP86607,1,149,Widowed,,Salad,47-86,"[24.27, 61.4]",0.5994,ISO 8601,Japanese Yen,1702,12-90,ASCII,60.1877,26-90,-2.8472,-97.3091,-0.2558,34599-54-3,Safari,"[0.1901, 0.639, 0.7415, 0.8471, 0.8932, 0.595, 0.7936, 0.2255]",King et al. (2018),,7764,indefinite,31-76,_ga=2330120575.3806903,19.8042,5375.4923,29.5067,35.7752,-54.9226,curated.orders -> analytics,0657237490300,"[1.1754, 0.8784, -0.3447, 0.0929, -0.838, -0.6056, 0.6439, -0.0807]",[INTERNAL] Q2 strategy review pending board approval,314.2,Cash,"[0.1695, -1.5994, -0.1144, -0.3042, -0.5897, -1.908, 0.5656, -0.122]",47 23 * * *,-4.3404,48,SMTP,sk_pYo3d1GU9cbpjuiblNXMJEpf6CyFaYSS,hr.employees,"[0.573, 0.195, 1.7582, 0.683, -1.1834, -1.1748, 0.1456, -0.2087]","[0.0544, 0.5911, 0.3281, 0.2001, 0.1078, 0.3517, -0.586, -0.0152]",false,40.8,54.35,Davis et al. (2025),0.4091,837,36.7916,9.42,ft,-22.39%,-12.45%,"status IN ('active','pending')",8400,73251.3,"[0.7534, 0.1476, 0.1649, 0.7912, 0.3792, 0.6562, 0.6878, 0.5624]",46.52,9190.5284,Homo sapiens,15.68,Low,2021-12-03T11:09:04Z,NaCl,56.37,0.872,24.896,-0.3114,+1-XXX-XXX-XXXX,Married,6508.2837,/var/config/export_599.yaml,17.31,UKCNK7KD2QXLULN1T,https://example.com/users/d624a646/profile,24.83%,Figure 17: Comparison,20.2736,NaCl
71.966,EMP30021,1,6886,Single,,Steak,25-65,"[12.41, 71.08]",-0.3318,RFC 3339,Euro,3049,11-78,Latin-1,8.4858,28-75,43.8903,-19.4204,0.8469,88547-10-5,Chrome,"[0.5892, 0.2693, 0.766, 0.3863, 0.028, 0.9424, 0.5661, 0.9377]",Young et al. (2016),,1025,1 year,3-57,_ga=3992353249.4783936,4.1078,1890.6019,17.5078,33.4489,3485.7046,curated.events -> reports,0190823364788,"[-0.2092, 0.9184, 0.0017, -0.6084, 0.9029, 0.4442, 0.5305, 0.3426]",[INTERNAL] Q1 strategy review pending board approval,224.0,Credit Card,"[1.2839, -0.0956, -1.2077, -1.8027, 0.6485, -0.5237, 0.4073, -0.3249]",47 5 * * *,-78.4953,140,gRPC,sk_e9c2rpZN9rKBsuDDfUUXGBqDjHUbxRVe,analytics.events,"[1.3967, 1.319, 0.699, 0.0842, -0.5821, -0.0851, 0.3565, -1.0326]","[-0.1757, 0.122, -0.494, 0.4115, -0.0732, -0.2484, -0.7593, -0.1418]",NO,83.3,34.83,Harris et al. (2017),-0.2889,612,-36.5336,2.68,gal,9.6%,-25.04%,age >= 18,6380,77514.2,"[0.325, 0.678, 0.6602, 0.5574, 0.6653, 0.4744, 0.5543, 0.9221]",24.0,4000.966,Fe2O3,95.53,High,2023-09-26 13:28:20,H2O,47.31,0.0293,-27.2295,0.441,+44-XXXX-XXXXXX,Married,1952.2638,/var/tmp/daily_80.parquet,43.17,0Z3Q8SGHLGJ94SP8U,https://example.com/users/9f9d90ec/profile,7.8%,Figure 3: Timeline,46.6749,NaCl
2604.3581,EMP57224,1,4359,Single,,Curry,24-82,"[26.13, 65.88]",-0.3287,ISO 8601,US Dollar,7577,24-75,ASCII,22.352,45-77,53.7735,98.7323,0.3897,97348-28-9,Firefox,"[0.9702, 0.5846, 0.3422, 0.8108, 0.8789, 0.0176, 0.0189, 0.8932]",Moore et al. (2009),2018-07-10 03:25:16,6956,7 days,40-85,_ga=3444932178.4109210,28.4915,7117.7763,13.633,25.1596,6652.9317,staging.events -> exports,1986229471432,"[0.2197, 0.5726, -0.0928, 0.0169, 0.2693, 2.2352, 1.3016, -0.9511]",[INTERNAL] Q4 strategy review pending board approval,126.6,ACH,"[-0.0982, -0.4496, -1.7128, 0.6129, 2.2695, 1.0413, 0.9902, -0.3127]",25 7 * * *,-65.3454,794,MQTT,sk_Zu4iZocv2qON0FB2NwrAVGGSw0kdJ7S1,public.users,"[-1.7468, 2.3399, 1.7079, -0.2769, -0.6158, 0.4101, -0.679, 0.2674]","[-0.5511, -0.6217, -0.4087, 0.3394, -1.3353, -0.2021, 0.1897, -0.221]",true,67.3,75.86,Thomas et al. (2010),0.0226,606,-44.1154,24.26,kg,-26.31%,-47.55%,NOT NULL,6887,35976.3,"[0.7426, 0.169, 0.0443, 0.5258, 0.0622, 0.1571, 0.5077, 0.3065]",80.75,9011.744,C6H12O6,76.36,Low,2022-12-14T09:46:06Z,Fe2O3,95.52,0.0039,-62.6314,-0.2375,+1-XXX-XXX-XXXX,Widowed,7220.2577,/var/exports/daily_858.parquet,63.19,3GOBSW5TDPDH5YF6Z,https://example.com/users/051e6383/profile,22.11%,Figure 19: Overview,40.9882,E. coli
851.9066,EMP67740,1,7411,Widowed,2022-04-21T15:11:32Z,Tacos,25-55,"[37.73, 64.25]",-0.0864,ISO 8601,Japanese Yen,2798,34-75,Latin-1,13.7236,41-89,30.0569,-62.1548,-0.6343,32855-96-4,Firefox,"[0.0542, 0.7324, 0.0838, 0.8801, 0.1344, 0.6581, 0.7108, 0.3037]",Clark et al. (2008),,8604,indefinite,41-79,_ga=4407819660.8529770,2.6836,4678.8501,32.1332,35.6497,5733.7345,curated.events -> exports,3598213850176,"[1.2598, -0.3761, -0.159, -0.0271, -1.2555, 0.5288, -0.0377, 0.4208]",[INTERNAL] Q1 strategy review pending board approval,173.0,Credit Card,"[0.0319, -0.2366, 0.983, 0.5469, 0.0577, -1.2967, 1.5055, -0.7835]","57 15 * * 0,6",16.4013,678,HTTPS,sk_N34zFU75gJg1RQOEcfoEzE2KN8ovqDUi,sales.orders,"[0.7901, -0.6361, 0.6023, -1.0339, -1.2672, -1.6911, 1.355, 1.088]","[0.751, -0.9404, -1.3418, 0.0652, 0.8048, -0.4252, -0.3377, 0.1836]",YES,44.7,15.77,Williams et al. (2020),-0.3475,386,-42.6959,70.04,L,-19.3%,5.94%,NOT NULL,5762,10319.6,"[0.398, 0.727, 0.8081, 0.039, 0.3253, 0.0171, 0.6917, 0.5382]",83.1,9086.3649,E. coli,97.7,Medium,2022-05-25T11:21:36Z,NaCl,43.59,0.2169,52.1407,-0.0793,+1-XXX-XXX-XXXX,Married,9315.5162,/var/uploads/daily_478.json,85.06,HTQYA766WQDUS6AUC,https://example.com/users/7cbf67ae/profile,-46.25%,Figure 20: Distribution,37.5611,NaCl
2478.676,EMP23944,0,3929,Single,,Steak,12-78,"[17.96, 65.59]",-0.6027,IEEE 754,Swiss Franc,7523,34-90,UTF-16,90.0149,31-72,94.17,-64.1592,0.6141,54002-61-6,Opera,"[0.1635, 0.2106, 0.9365, 0.3419, 0.1805, 0.2738, 0.2191, 0.9053]",Jones et al. (2005),,2088,7 days,48-79,_ga=9597768840.2904260,10.0478,6469.4673,24.3873,19.9957,7375.0354,staging.events -> exports,4397031131036,"[-0.1931, 0.1293, -1.366, -1.0308, -1.0696, 0.0111, -0.5273, 1.8457]",[INTERNAL] Q4 strategy review pending board approval,152.6,Wire Transfer,"[1.03, -0.4109, 0.9265, -0.2213, 0.2098, 0.7315, -2.3825, -0.4055]",8 21 * * 1-5,65.6304,15,FTP,sk_nuUnllk9NBaO1VtKv0SGyA9GCL3tC9Cy,public.users,"[0.4662, -0.8049, -1.5985, -1.6008, 0.2611, -0.7718, -0.3142, 1.8711]","[0.5923, -0.0712, -0.0491, 0.5064, 0.2744, -0.8451, 0.7936, -0.5141]",false,58.6,1.42,Harris et al. (2009),0.896,682,5.0103,42.06,L,33.44%,6.54%,amount <= 10000,521,14353.2,"[0.3181, 0.0061, 0.3019, 0.0656, 0.3744, 0.5414, 0.0887, 0.9861]",92.45,1964.4443,NaCl,93.65,High,2026-11-06T01:07:09Z,Homo sapiens,5.33,0.3171,29.8968,-0.6643,+81-XX-XXXX-XXXX,Divorced,3943.1027,/var/tmp/export_310.json,89.64,OCWMQYVAG6RQJ5DSY,https://example.com/users/cf9397d4/profile,15.3%,Figure 10: Distribution,17.3431,H2O
3322.2633,EMP16816,0,9431,Married,,Pizza,27-69,"[38.14, 60.92]",-0.5966,POSIX,Swiss Franc,3316,36-93,Latin-1,-31.3208,43-86,-10.0402,95.0164,-0.7629,55973-39-8,Brave,"[0.1823, 0.9256, 0.4169, 0.9456, 0.3913, 0.2579, 0.4935, 0.762]",Anderson et al. (2021),,4645,30 days,43-69,_ga=2027073633.4012776,5.3997,8000.225,5.9433,48.6898,9424.8116,staging.events -> exports,7945446928132,"[-0.2789, 1.6148, -0.8673, 1.228, 0.6414, 0.2122, -0.4332, -2.0393]",[INTERNAL] Q4 strategy review pending board approval,271.5,Wire Transfer,"[0.7477, 0.4522, 0.4243, -1.3544, -0.5408, -0.6739, -0.8187, -0.3343]",55 13 * * *,78.5486,197,MQTT,sk_tRGz2tGGwLHrz0bOWDdMzXrCDE3kjKyu,hr.employees,"[-0.9569, -0.6995, 1.149, -1.4645, -0.2753, -0.8927, -0.9046, -0.1333]","[-0.3694, 0.2687, -0.6998, 0.7165, 0.5651, 0.8483, 0.1976, 0.4684]",YES,31.4,9.67,Smith et al. (2011),-0.3729,221,10.4117,37.76,°F,22.87%,22.19%,amount <= 10000,127,82060.8,"[0.9385, 0.2453, 0.9157, 0.9252, 0.509, 0.6293, 0.1448, 0.4833]",3.99,823.785,Fe2O3,40.01,Medium,2024-01-25T04:41:52Z,E. coli,26.87,-0.9758,-36.2562,-0.6737,+44-XXXX-XXXXXX,Widowed,-861.0892,/var/tmp/export_338.yaml,84.92,LQHR2NYOUWO3XW2XN,https://example.com/users/73482e2e/profile,4.08%,Figure 10: Distribution,0.5395,NaCl
7131.7157,EMP92796,1,2088,Divorced,,Tacos,27-70,"[18.75, 87.75]",-0.8729,RFC 3339,Japanese Yen,1444,27-52,ASCII,-80.4552,50-60,-4.7604,-41.3923,0.6399,3417-72-4,Firefox,"[0.5458, 0.7869, 0.4209, 0.7004, 0.62, 0.4617, 0.7039, 0.649]",Smith et al. (2014),,318,7 years,45-67,_ga=4696431623.2905874,12.235,6259.2883,29.4741,0.5259,6383.4953,raw.orders -> analytics,7156654058211,"[-0.4034, 0.3062, 1.4329, -1.4569, 0.1621, 1.237, 0.9197, -2.1021]",[INTERNAL] Q1 strategy review pending board approval,89.2,PayPal,"[1.1085, -1.3382, 2.288, 0.4788, 0.3053, 2.5673, 1.1245, -0.5207]",53 9 * * 1-5,0.8823,221,HTTP,sk_t0msnmfDDbf8Wxl2rKweCKQdOVVn05A4,sales.orders,"[0.8042, 3.0563, -0.8814, 2.1369, 0.6416, 0.0723, -0.0695, 0.8774]","[-0.6289, -0.9804, 0.7271, 0.124, -0.5919, -0.3352, 0.6074, -0.1927]",false,8.7,80.81,Lee et al. (2006),0.3503,228,42.1815,92.25,gal,31.84%,5.91%,"status IN ('active','pending')",8630,48010.1,"[0.0764, 0.0443, 0.6217, 0.5888, 0.8142, 0.9459, 0.7357, 0.6442]",84.15,3015.5375,Fe2O3,84.94,Low,2019-03-05T21:56:44Z,H2O,33.9,-0.4353,79.37,-0.9968,+44-XXXX-XXXXXX,Widowed,-269.6368,/var/config/batch_470.parquet,42.21,2UBJUW7DZ1GH3L98O,https://example.com/users/1f6de0f4/profile,-4.73%,Figure 3: Overview,34.5758,NaCl
8797.1761,EMP65452,1,3468,Widowed,,Sushi,41-62,"[10.1, 77.79]",0.2732,POSIX,US Dollar,5699,37-100,ISO-8859-1,24.289,37-99,-32.6037,-41.9922,0.5002,50033-31-4,Opera,"[0.4066, 0.3596, 0.8725, 0.5594, 0.9068, 0.7533, 0.0619, 0.661]",Martin et al. (2015),2025-06-07T15:13:10Z,3969,30 days,50-59,_ga=7092730854.7150993,48.8987,5752.8248,36.4373,45.8254,6927.487,staging.events -> reports,0966819722006,"[-0.0849, 0.9737, -0.6635, 0.9281, -0.4419, 0.8814, -0.7386, 2.1322]",[INTERNAL] Q1 strategy review pending board approval,131.7,Credit Card,"[-0.1767, -0.9469, 0.1579, 0.6731, -1.4898, 0.4476, 0.2035, -1.0258]",52 19 * * 1-5,93.86,136,HTTP,sk_Bp6x562OzPNSwujOghvJdCRwduW05136,sales.orders,"[-0.169, -0.6966, -1.5895, 0.3787, 0.6293, 1.6026, 0.4839, 0.4462]","[-0.1491, 0.2611, -0.0026, 0.0893, -0.542, 0.7967, -0.0892, 0.2477]",true,35.9,73.85,Clark et al. (2012),0.8519,872,85.0359,2.2,lb,-36.03%,-32.16%,age >= 18,806,47297.0,"[0.4652, 0.2081, 0.6391, 0.7124, 0.1634, 0.3848, 0.9015, 0.7584]",96.91,-481.1509,Homo sapiens,71.89,Medium,2020-07-13 13:36:46,C6H12O6,87.86,-0.9852,0.6021,0.9438,+1-XXX-XXX-XXXX,Single,6804.0487,/var/config/export_956.yaml,70.85,HYOO5KEKXACN09H94,https://example.com/users/f2fcce44/profile,-37.2%,Figure 9: Comparison,7.4916,E. coli
258.6918,EMP27649,1,625,Divorced,,Salad,39-79,"[28.32, 93.6]",-0.1751,ISO 8601,US Dollar,3699,14-76,Latin-1,-27.9289,17-59,73.9042,27.4403,0.5993,88495-14-3,Brave,"[0.1031, 0.7521, 0.4081, 0.6839, 0.0562, 0.2153, 0.4325, 0.1851]",Clark et al. (2005),2025-02-28 17:16:41,6983,indefinite,22-63,_ga=6168942111.4601566,44.6201,9110.1461,24.7814,37.0573,8237.3092,staging.users -> reports,6249551803381,"[0.0609, 0.3448, 0.1361, 0.9224, 0.5726, 0.9604, 0.7695, 0.101]",[INTERNAL] Q4 strategy review pending board approval,417.9,Debit Card,"[0.5399, 0.1692, 0.2549, 0.5176, 0.8656, 0.0155, 0.9314, 1.2149]","12 8 * * 0,6",-65.2054,785,WebSocket,sk_G1yYfdFtwTzFf8n6X2Fk81FiMA9zqCTB,sales.orders,"[0.9949, 0.1447, -0.0209, -1.2702, -0.2677, 0.7334, -0.6864, 1.375]","[-0.6613, 0.1074, 0.707, 1.067, 0.1688, 0.6729, 0.4223, 0.2028]",NO,88.2,85.56,Smith et al. (2001),-0.4538,300,-90.3715,3.41,L,36.8%,-43.62%,age >= 18,5089,46042.2,"[0.4654, 0.4469, 0.4345, 0.6315, 0.5646, 0.5115, 0.4828, 0.4731]",14.84,6108.0891,E. coli,67.78,Medium,2020-06-04 16:40:28,Homo sapiens,23.91,0.0973,-43.2633,0.7953,+44-XXXX-XXXXXX,Divorced,7404.743,/var/config/batch_97.parquet,85.07,8JILX9G4H3R1Q2NYJ,https://example.com/users/f9705518/profile,22.08%,Figure 20: Timeline,37.9153,Fe2O3
