LATITUDE,v_bm,disabil,percentage,weight_mass,attr_334,DISTANCE,memory_usage_38,raw_power,continent,SOFT_DELETE_FLAG,meta_cou,qfk92,dim_humidity,contract_val,browser_user_agent,specific_gravity,c_771,weightMass,performance_review,storageSize,SPEED_VELOCITY,zuhht34,dim_price_cost,src_encoding,fx_rate,global_trade_item_number_val,c_618,count_field,age,measdist,customer_luminosity_brightness,miles,BUDGET_ALLOCATION,count,var_929,concentration_14,d_nai,cpu_usage_raw,meta_bran,src_exchange_rate,measlat,rate,vjrotv91,brandname,count_2,customer_density,memory_usage,sku,attr_memo,x_289,energy_22,var_384,col_351,median,marketValue,d_qt,electricCurrent,luminosity_brightness_14,changed_at,measprs,ping,category_val,okmu64,confidenceInterval,percentage_2,d_lum,WEIGHT_MASS,power_22,mjlk24,p_ohd,bic,PERCENTAGE,measspd,density_14,raw_distance,v_cwc,product_nm,meta_mmc,statusState,created_at_30,REVENUE_SALES,distance_102,voltage_14,scoreIndex,statusCode,resolution,price_cost_46,SCORE_INDEX,measangle,etlBatchId,product_name_v2,energy,SOUND_LEVEL,luminosity_brightness,fact_volume,speed,investment_account_v2,col_mov,contract_value_info,MEMORY_USAGE,humidity_22,ph_level_14,x_trs
-67.575249,29.32,Mobility,8.76%,22.95,6320.6,7292.3,70.2,29771.5,Asia,false,37944,1778.45,37.4,"$5,271,610",Edge,12.592,"6631 Elm St, Dallas, NY 41525",254.4,Outstanding,793356,176.7,48.1,5636.02,UTF-8,15.8036,5662152641361,"-----BEGIN CERTIFICATE-----
KVX14bF4NRubasLo+GzmC8g3xvjudkcwHnS9mVmEqHLaq54nyYk8xQx+4e4COEMg
-----END CERTIFICATE-----",7660,120,7957.9,89463.0,7002.2,"$362,261",70192,Software,343.46,365634,97.7,EcoLine,45.6069,41.43012,9350.27,296.1,ProSeries,85264,14.406,36.5,FZR-3928,63.2,72223,6925.4,"$8,177,888",2022-02-12T18:57:06Z,39.2109,"$32,895,740",15.38,6.2,30030.6,2019-10-01T03:59:44Z,1771.7,1094,Electronics,ec8c03dfa458f5f0b417f668eb28317f15d5c5296f85e5348b06e8a84b2a52fb,"[38.5, 97.19]",40.82%,11184.2,752.91,41603.6,5e853f7af39dae095005e649e8b80acf8bafbc052dc3bc209819f6ac495f5d36,Sibling,897126879,21.48%,113.5,13.327,207.0,USR-696242,SmartHub X1,97055.8,pending,2019-05-21T00:27:06Z,"$3,990,703",1292.3,234.3,1.44,inactive,1280x720,1289.88,0.21,96.08,batch-20181202-26,FlexPay Platform,22686.9,48.2,54280.4,7803.53,276.9,INV-566576,-150.132523,"$7,963,063",61.5,14.2,4.74,Non-binary
48.713892,60.34,Hearing,72.39%,678.42,4078.1,9768.0,76.7,24835.0,Africa,false,65208,7665.3,47.7,"$9,152,341",Opera,13.316,"2157 Cedar Ln, New York, OH 59670",309.27,Exceeds expectations,384384,241.7,88.1,3087.46,Latin-1,31.7326,6891932020161,"-----BEGIN CERTIFICATE-----
Va6e6UYaIkZFmiTIxvFtr+qNs1lUXKcmf1kln2V25bdZ8dDbbM/ZL8z4Di24eMPl
-----END CERTIFICATE-----",79345,5,142.2,28620.0,5408.1,"$3,204,774",45542,Hardware,913.98,342207,50.4,EcoLine,76.4825,-54.727445,4296.52,54.29,SmartChoice,41235,16.609,13.1,BJI-2890,94.9,72357,89651.6,"$1,887,333",2026-01-22 07:28:20,-60.1438,"$621,108,003",17.9134,39.86,34512.2,2023-03-15 01:55:07,114.8,2849,Electronics,275c9d892900b0f13aedcc509cae7a4aa7aeebc72c39bb3de19ca2270517aa62,"[19.18, 99.63]",54.13%,2756.4,849.95,18774.5,9f8920572fae2415f1a34ceb244d667c8ea6ca6eb60ee07b3ad15ea3d7ed3f02,Parent,036652823,97.78%,31.6,16.154,5553.1,3512159,DataSync 3000,75301.4,inactive,2022-07-28 01:46:30,"$6,349,646",3490.6,164.6,3.51,cancelled,1920x1080,9040.68,6.57,91.97,batch-20210113-80,CloudGuard,76631.2,106.1,39434.4,1160.94,227.8,INV-369444,46.431863,"$78,284",5.8,96.5,5.39,Other
-22.477383,34.85,Visual,64.77%,362.72,5571.1,6974.4,21.6,7560.7,Asia,false,37368,1354.5,73.8,"$4,095,396",Opera,16.908,"467 Park Blvd, Portland, MA 36653",576.66,Needs improvement,949832,216.6,8.6,2242.57,UTF-8,91.7552,1827517277429,"-----BEGIN CERTIFICATE-----
HXas8wFzr3XeDsb0c3co1wwvN+IAAcruRTwmi+ZGqrh9lSde3G98WcEmG4pbRmRB
-----END CERTIFICATE-----",17318,8,9755.0,2872.1,2572.5,"$696,437",76424,Services,868.97,517484,20.3,ProSeries,87.2279,25.887671,1478.2,401.39,ValueMax,26171,17.536,90.8,EWQ-4150,64.0,91731,91291.6,"$6,864,327",2021-06-16 06:35:10,22.1707,"$950,286,588",52.8742,0.09,98184.3,2025-04-21T01:02:13Z,1922.3,1501,Food,8943dd306be3a9a3884e589586183d050d61f0d6d8e06cd834ce9281b8b5689a,"[8.42, 75.3]",78.68%,18130.5,760.77,6271.7,dd315060a3308c65702f468e25f79f31ca295de238c3279ef80d830746160779,Manager,545200532,26.55%,260.2,16.677,4139.5,TXN-682364,AuditTrail Plus,63735.2,rejected,2024-02-08 08:43:09,"$1,995,278",2563.0,63.4,9.7,rejected,1920x1080,7754.82,7.39,32.53,batch-20190607-70,VaultKeeper,17551.0,18.2,67895.4,4041.36,36.5,INV-317672,-60.579597,"$4,839,296",80.9,98.7,9.22,Male
-38.232124,5.47,None,40.88%,986.99,7358.4,6883.1,93.5,7163.3,Europe,false,19666,4068.22,25.2,"$66,292",Brave,14.026,"1190 Maple Dr, Portland, MA 32440",628.87,Exceeds expectations,892132,271.0,90.0,4555.26,ISO-8859-1,7.0838,3355130698774,"-----BEGIN CERTIFICATE-----
QzHZQqvybaKE8m/+MyW7DmsqDXD/QPX2PoyUxlI7qeppf3rEM0LyUdxEr4be93v9
-----END CERTIFICATE-----",56614,61,9052.7,13072.6,3456.5,"$3,114,415",65660,Services,430.35,664070,94.8,ValueMax,69.6529,-81.626559,7698.73,951.8,SmartChoice,42979,14.335,76.1,FHH-6838,35.0,66137,54370.5,"$569,550",2021-11-11T09:50:00Z,76.4464,"$752,830,212",90.9522,7.19,86568.2,2019-04-15T21:42:23Z,1087.1,1370,Electronics,e75373ad3573b1e71859099d1a0f3b499991506f3d951d8b8a6717fd3d35a3a2,"[21.23, 78.83]",36.43%,33431.1,123.15,260.4,813865d89a2d4e5a41012b2be7823163c984a61145dbe440a9f8782bef8b2f29,Parent,685307409,79.0%,133.9,8.925,8646.2,3469773,Widget Pro,12324.5,failed,2023-09-06T21:43:04Z,"$1,846,537",3421.5,388.0,5.58,inactive,2560x1440,7931.22,2.02,110.17,batch-20220416-89,NanoCore SDK,26815.5,51.7,53140.4,7942.74,237.4,INV-833469,156.533848,"$4,696,584",79.5,55.0,11.05,Non-binary
-77.558388,45.93,Cognitive,96.74%,594.24,9765.5,7076.1,30.1,24372.8,South America,false,53532,9537.82,32.8,"$6,650,549",Brave,2.547,"7697 Pine Rd, Toronto, TX 98545",22.12,Meets expectations,587212,15.8,76.9,3521.27,ISO-8859-1,25.5711,2365293039587,"-----BEGIN CERTIFICATE-----
19zITfoOhswCYUr436KFRq8idT7ixik9Q3ybUVUqysneIWu2HP0P/q4FKeEA4NcF
-----END CERTIFICATE-----",86589,27,8040.2,65198.0,8726.1,"$4,767,864",77745,Software,855.94,825910,64.4,ValueMax,131.5338,65.47904,3378.2,179.68,ProSeries,37626,6.205,98.1,IXM-3217,79.6,8769,27999.9,"$3,926,131",2018-06-05 08:26:41,-74.6274,"$195,635,228",25.0121,97.09,1521.6,2020-03-12T11:31:48Z,215.7,2753,Software,daf26ce99731cbf8fe6176c56804efeecb556e2707e7af438b161f27641286a9,"[16.21, 94.68]",78.8%,30268.7,934.22,9830.5,0a02a0d363b8835feb3afb3c44dc210c960925ebf4ed1addfda0156921e671ac,Child,301791517,31.67%,227.5,5.896,1788.7,TXN-363050,Widget Pro,73009.5,pending,2019-04-22 05:10:52,"$6,194,196",2775.6,19.9,7.55,failed,2560x1440,2234.51,1.75,191.73,batch-20260514-04,DataSync 3000,15952.0,97.9,58855.3,7019.07,52.5,INV-168619,68.354626,"$5,779,891",97.2,36.5,10.16,Male
85.686002,92.14,Mobility,53.62%,265.71,7126.1,5633.6,51.6,28793.7,Antarctica,false,32693,9125.81,66.2,"$6,999,164",Edge,2.674,"6144 Cedar Ln, Paris, GA 29001",472.51,Exceeds expectations,375212,182.9,51.5,4295.77,Latin-1,64.4756,1045736909392,"-----BEGIN CERTIFICATE-----
x6bdS7otN9Ka5Oh3jbPKClFnpFTrDgsYNWDoJw1vhminlr0YhfDXXiWhV5MhvYOf
-----END CERTIFICATE-----",80942,36,9714.9,19150.5,7562.1,"$4,166,266",34728,Services,40.15,493734,20.7,TechBrand,24.7471,-56.778887,5680.87,536.65,TechBrand,90802,11.183,97.9,SOA-5770,4.3,74582,65790.5,"$760,007",2023-06-11 14:37:46,-28.9608,"$75,153,997",19.5569,50.04,47469.8,2021-01-23T18:15:28Z,1866.5,4415,Clothing,0492ed29656c3904d95c84f674c0231d7d4a33fa397863e64576a0d2c6ab02c8,"[14.66, 92.73]",81.3%,91794.6,906.32,27512.6,63f60bd89ec907aa9f94a7ab70dca2e03db8f612221c7dd5f5088034879ae16b,Peer,492201612,65.53%,16.0,17.999,8988.5,USR-159890,Sentinel Monitor,81403.2,completed,2021-08-27 14:53:44,"$72,353",4413.0,130.1,6.97,rejected,1280x720,7430.64,9.63,233.12,batch-20210928-79,FlexPay Platform,90068.3,42.0,60974.4,4010.74,78.3,INV-584692,-58.429568,"$9,435,504",89.4,80.1,7.68,Female
-11.920695,34.43,Hearing,70.59%,35.27,3724.5,4823.7,14.3,38882.7,Asia,true,97894,5261.03,65.5,"$9,632,161",Edge,10.712,"9152 Cedar Ln, Atlanta, TX 63638",86.3,Exceeds expectations,378628,117.2,35.3,8257.26,UTF-8,39.343,9578014284402,"-----BEGIN CERTIFICATE-----
ag24+aRlxXmD+39dHGN5Bnner2JePnDKZwn2L+/Ja3srT/N8mjnGQ4VE3U/XxZxe
-----END CERTIFICATE-----",23502,57,7494.1,43948.4,9599.0,"$4,038,184",31841,Services,408.61,811425,90.5,TechBrand,46.9366,6.717447,2775.47,214.16,TechBrand,66278,4.996,57.2,YCW-1440,82.5,23261,16666.3,"$9,939,604",2018-06-05 17:58:24,-52.613,"$28,784,934",91.5328,11.59,82385.8,2021-10-12T19:00:01Z,1223.0,2213,Hardware,763738b4e3e6446bf57bcea1cd47e10d28f235c3145500079f674fd821340cae,"[20.57, 85.83]",39.6%,13064.7,490.09,10724.4,5a2cde5546359dfa9c5bdacaa6fb2147b8f84f1e60d3bad53b06744df5a49cb6,Child,213299697,14.5%,127.1,19.576,5778.8,9091174,DataSync 3000,21980.5,rejected,2019-10-15 14:52:04,"$6,384,028",3984.2,476.9,4.08,approved,1920x1080,9121.97,2.24,101.46,batch-20230416-35,DataSync 3000,78545.8,124.0,70366.6,2986.27,256.3,INV-658987,-1.942798,"$4,133,472",65.3,74.1,11.03,Male
28.186568,10.23,Cognitive,65.15%,123.98,4643.3,8523.0,85.1,46769.1,Oceania,false,44027,9527.44,20.9,"$8,774,343",Chrome,0.248,"9703 Pine Rd, Sydney, FL 21678",998.68,Exceeds expectations,481028,81.3,71.1,4290.13,Latin-1,99.299,1440319772486,"-----BEGIN CERTIFICATE-----
b3JubetRmW2nwHoJWs+1qWXxhvE1gSantfL6ek2EuZcfSw7iyXZeAp99fXH3Vjr+
-----END CERTIFICATE-----",56380,57,4405.4,75392.3,4560.4,"$3,563,309",87984,Clothing,452.67,541569,1.5,EcoLine,93.1329,-79.527093,8927.34,280.24,EcoLine,2004,16.7,31.1,ZEM-2015,65.8,6860,84543.6,"$3,267,855",2026-04-28 09:22:18,56.3945,"$142,549,482",102.9842,28.53,90550.8,2025-11-11T04:19:07Z,1801.3,3363,Clothing,738d6204de8f60614e35390e1a42c85e00ae13b474fbf82d895cf639dabaee3e,"[22.62, 61.11]",93.61%,53995.6,731.87,16534.7,486eadcb7e82e0fba611034a19cfba1cb5799d346514b3c0b8db0a9013e9582d,Child,762742873,9.46%,292.6,16.804,6079.4,ORD-281379,AuditTrail Plus,193.4,failed,2021-06-25T19:07:05Z,"$8,406,534",8543.1,424.8,1.53,approved,1280x720,1740.86,3.92,242.32,batch-20250410-45,FlexPay Platform,28763.1,105.8,69545.7,3659.79,123.5,INV-380311,-15.843548,"$7,596,022",71.1,4.8,6.43,Male
-6.31803,60.14,None,66.13%,375.53,8435.7,6883.2,47.2,17643.4,Oceania,false,42423,7187.41,21.0,"$2,644,001",Safari,19.893,"9226 Pine Rd, London, NC 98556",166.03,Meets expectations,493649,250.9,20.6,3352.63,UTF-8,119.9278,1382806002084,"-----BEGIN CERTIFICATE-----
q/GZ6KYQR92rOccYVzEOAr8i49VAWA6Er+A6Bh+K7XRPp+31xdy3Pb/O9rKpYyRX
-----END CERTIFICATE-----",93291,75,861.6,66446.6,3699.7,"$3,851,533",94410,Clothing,347.36,360611,61.9,TechBrand,42.5513,55.189616,180.27,758.7,EcoLine,30883,8.149,10.1,FEJ-7024,62.3,43222,56210.2,"$6,675,662",2020-11-09 20:29:57,-9.1985,"$789,737,587",10.0065,98.26,26317.9,2026-11-09 18:58:58,1949.9,1502,Hardware,be344c73d712e7d440c5e1580bb3a7a43cdf220b5be56aaf0409880bf8431309,"[15.58, 85.46]",97.36%,76354.2,666.86,27802.7,30d138c8392ea1175bfdb53d14c9204f7cb0389b2fdef69a62d3998b08d38a66,Peer,117873434,96.09%,240.7,7.438,8989.5,ORD-302554,SmartHub X1,16044.6,rejected,2019-12-27 22:07:05,"$1,589,055",5884.7,42.2,8.53,active,3840x2160,7211.86,2.49,301.87,batch-20210322-06,DataSync 3000,26209.7,21.3,94841.0,4021.62,257.9,INV-544294,-14.000731,"$243,588",75.4,83.6,1.33,Male
47.853484,41.4,Cognitive,91.67%,532.81,6278.2,3910.5,96.1,8788.3,Oceania,false,25949,7633.21,22.6,"$3,837,038",Safari,16.767,"9963 Pine Rd, Toronto, CA 57712",260.45,Outstanding,482311,125.5,83.1,4958.27,UTF-16,135.8056,0447438840290,"-----BEGIN CERTIFICATE-----
fFiByDDRkur7M3oVVX/RTPpz09kqhd2V+GR3CyLRAI/3jVsIWQ5hdAknTSHFkkXk
-----END CERTIFICATE-----",25253,92,7706.6,15324.6,3442.7,"$3,951,797",49597,Hardware,701.93,363979,88.5,SmartChoice,88.2256,86.209696,3863.37,826.79,TechBrand,95960,9.518,26.2,TDJ-3207,54.0,90043,62664.5,"$9,658,594",2024-12-27 20:07:24,-32.9998,"$783,641,940",48.3596,86.71,24125.3,2024-08-18 05:43:42,376.5,1603,Food,14188f7b030902f9f828a2e23fd9b34903a3f31d9d167b5ea3166860181d65e2,"[11.77, 63.24]",99.07%,25121.3,494.74,29369.3,e77d122c21f54ce2e907b44d43af2e9905a892b694b0d7de12575361034e0b5c,Parent,492445407,98.83%,298.6,6.907,4376.5,2565161,VaultKeeper,74096.5,completed,2018-01-28T03:38:27Z,"$4,609,706",7190.5,287.3,1.21,inactive,1920x1080,2586.7,0.27,16.07,batch-20200119-73,Widget Pro,73890.3,107.0,63417.1,4761.95,194.2,INV-155921,59.973049,"$2,005,290",19.0,44.7,6.7,Male
